transfer,run,desc,plate_n,barcode,ab
18,1,assay,1,2021051001,N
18,1,assay,2,2021051002,N
18,1,assay,3,2021051003,N
18,1,assay,4,2021051004,N
18,1,assay,5,2021051005,N
18,1,assay,6,2021051006,N
18,1,agar,1,2021051007,N
18,1,agar,2,2021051008,N
18,1,agar,3,2021051009,N
18,1,agar,4,2021051010,N
18,1,agar,5,2021051011,N
18,1,agar,6,2021051012,N
18,1,agar,1,2021051013,A
18,1,agar,2,2021051014,A
18,1,agar,3,2021051015,A
18,1,agar,4,2021051016,A
18,1,agar,5,2021051017,A
18,1,agar,6,2021051018,A
18,1,agar,1,2021051019,B
18,1,agar,2,2021051020,B
18,1,agar,3,2021051021,B
18,1,agar,4,2021051022,B
18,1,agar,5,2021051023,B
18,1,agar,6,2021051024,B
18,1,agar,1,2021051025,AB
18,1,agar,2,2021051026,AB
18,1,agar,3,2021051027,AB
18,1,agar,4,2021051028,AB
18,1,agar,5,2021051029,AB
18,1,agar,6,2021051030,AB
19,1,on,1,2021051031,N
18,1,test,1,2021051032,N
18,1,test,1,2021051033,A
18,1,test,1,2021051034,B
18,1,test,1,2021051035,AB
