,transfer,row,col,strain_wanted,strain_real,contaminated,replicate
t0_S_A1,0,A,1,,,False,0
t0_S_A2,0,A,2,,,False,2
t0_S_A3,0,A,3,A_r,A_r,False,0
t0_S_A4,0,A,4,A_r,A_r,False,2
t0_S_A5,0,A,5,B_r,B_r,False,0
t0_S_A6,0,A,6,B_r,B_r,False,2
t0_S_A7,0,A,7,wt,wt,False,0
t0_S_A8,0,A,8,wt,wt,False,2
t0_S_A9,0,A,9,UI,UI,False,0
t0_S_A10,0,A,10,UI,UI,False,2
t0_S_A11,0,A,11,bl,bl,False,0
t0_S_A12,0,A,12,bl,bl,False,2
t0_S_A13,0,A,13,,,False,0
t0_S_A14,0,A,14,,,False,2
t0_S_A15,0,A,15,,,False,0
t0_S_A16,0,A,16,,,False,2
t0_S_A17,0,A,17,,,False,0
t0_S_A18,0,A,18,,,False,2
t0_S_A19,0,A,19,,,False,0
t0_S_A20,0,A,20,,,False,2
t0_S_A21,0,A,21,,,False,0
t0_S_A22,0,A,22,,,False,2
t0_S_A23,0,A,23,,,False,0
t0_S_A24,0,A,24,,,False,2
t0_S_B1,0,B,1,,,False,1
t0_S_B2,0,B,2,,,False,3
t0_S_B3,0,B,3,A_r,A_r,False,1
t0_S_B4,0,B,4,A_r,A_r,False,3
t0_S_B5,0,B,5,B_r,B_r,False,1
t0_S_B6,0,B,6,B_r,B_r,False,3
t0_S_B7,0,B,7,wt,wt,False,1
t0_S_B8,0,B,8,wt,wt,False,3
t0_S_B9,0,B,9,UI,UI,False,1
t0_S_B10,0,B,10,UI,UI,False,3
t0_S_B11,0,B,11,bl,bl,False,1
t0_S_B12,0,B,12,bl,bl,False,3
t0_S_B13,0,B,13,,,False,1
t0_S_B14,0,B,14,,,False,3
t0_S_B15,0,B,15,,,False,1
t0_S_B16,0,B,16,,,False,3
t0_S_B17,0,B,17,,,False,1
t0_S_B18,0,B,18,,,False,3
t0_S_B19,0,B,19,,,False,1
t0_S_B20,0,B,20,,,False,3
t0_S_B21,0,B,21,,,False,1
t0_S_B22,0,B,22,,,False,3
t0_S_B23,0,B,23,,,False,1
t0_S_B24,0,B,24,,,False,3
t0_S_C1,0,C,1,,,False,0
t0_S_C2,0,C,2,,,False,2
t0_S_C3,0,C,3,,,False,0
t0_S_C4,0,C,4,,,False,2
t0_S_C5,0,C,5,,,False,0
t0_S_C6,0,C,6,,,False,2
t0_S_C7,0,C,7,,,False,0
t0_S_C8,0,C,8,,,False,2
t0_S_C9,0,C,9,,,False,0
t0_S_C10,0,C,10,,,False,2
t0_S_C11,0,C,11,,,False,0
t0_S_C12,0,C,12,,,False,2
t0_S_C13,0,C,13,,,False,0
t0_S_C14,0,C,14,,,False,2
t0_S_C15,0,C,15,,,False,0
t0_S_C16,0,C,16,,,False,2
t0_S_C17,0,C,17,,,False,0
t0_S_C18,0,C,18,,,False,2
t0_S_C19,0,C,19,,,False,0
t0_S_C20,0,C,20,,,False,2
t0_S_C21,0,C,21,,,False,0
t0_S_C22,0,C,22,,,False,2
t0_S_C23,0,C,23,,,False,0
t0_S_C24,0,C,24,,,False,2
t0_S_D1,0,D,1,,,False,1
t0_S_D2,0,D,2,,,False,3
t0_S_D3,0,D,3,,,False,1
t0_S_D4,0,D,4,,,False,3
t0_S_D5,0,D,5,,,False,1
t0_S_D6,0,D,6,,,False,3
t0_S_D7,0,D,7,,,False,1
t0_S_D8,0,D,8,,,False,3
t0_S_D9,0,D,9,,,False,1
t0_S_D10,0,D,10,,,False,3
t0_S_D11,0,D,11,,,False,1
t0_S_D12,0,D,12,,,False,3
t0_S_D13,0,D,13,,,False,1
t0_S_D14,0,D,14,,,False,3
t0_S_D15,0,D,15,,,False,1
t0_S_D16,0,D,16,,,False,3
t0_S_D17,0,D,17,,,False,1
