,transfer_n,replicate,strategy,phenotype,fraction,contaminated,exclude,infected_by_strains,infected_by_wells,infection_to_well,infection_to_well_id,pheno_num,pheno_str,plate,received_transfer_strain,rep,count,rwell,tip,transfer_from_well_id,transfer_to_well,transfer_to_well_id,treatment_with,turnover_id,turnover_strain,turnover_strain_real,well
0,0,0.0,Combo,A_r,6.25,6,6,0,0,0,2,6,6,6,0,6,6,6,6,0,0,5,6,6,6,6,6
1,0,0.0,Combo,B_r,4.166666666666666,4,4,0,0,0,0,4,4,4,0,4,4,4,4,0,0,3,4,4,4,4,4
2,0,0.0,Combo,UI,13.541666666666666,13,13,0,0,0,3,13,13,13,0,13,13,13,13,0,0,7,13,13,13,13,13
3,0,0.0,Combo,WT,76.04166666666666,73,73,0,0,0,21,73,73,73,0,73,73,73,73,0,0,62,73,73,73,73,73
4,0,0.0,Cycling,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
5,0,0.0,Cycling,B_r,4.166666666666666,4,4,0,0,0,0,4,4,4,0,4,4,4,4,0,0,3,4,4,4,4,4
6,0,0.0,Cycling,UI,14.583333333333334,14,14,0,0,0,3,14,14,14,0,14,14,14,14,0,0,8,14,14,14,14,14
7,0,0.0,Cycling,WT,76.04166666666666,73,73,0,0,0,21,73,73,73,0,73,73,73,73,0,0,62,73,73,73,73,73
8,0,0.0,Mixing,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
9,0,0.0,Mixing,B_r,4.166666666666666,4,4,0,0,0,0,4,4,4,0,4,4,4,4,0,0,3,4,4,4,4,4
10,0,0.0,Mixing,UI,15.625,15,15,0,0,0,3,15,15,15,0,15,15,15,15,0,0,9,15,15,15,15,15
11,0,0.0,Mixing,WT,75.0,72,72,0,0,0,21,72,72,72,0,72,72,72,72,0,0,61,72,72,72,72,72
12,0,0.0,Mono A,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
13,0,0.0,Mono A,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
14,0,0.0,Mono A,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
15,0,0.0,Mono A,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70
16,0,0.0,Mono B,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
17,0,0.0,Mono B,B_r,4.166666666666666,4,4,0,0,0,0,4,4,4,0,4,4,4,4,0,0,4,4,4,4,4,4
18,0,0.0,Mono B,UI,15.625,15,15,0,0,0,3,15,15,15,0,15,15,15,15,0,0,9,15,15,15,15,15
19,0,0.0,Mono B,WT,75.0,72,72,0,0,0,21,72,72,72,0,72,72,72,72,0,0,60,72,72,72,72,72
20,0,0.0,No treatment,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
21,0,0.0,No treatment,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
22,0,0.0,No treatment,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
23,0,0.0,No treatment,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70
24,0,1.0,Combo,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
25,0,1.0,Combo,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
26,0,1.0,Combo,UI,15.625,15,15,0,0,0,3,15,15,15,0,15,15,15,15,0,0,9,15,15,15,15,15
27,0,1.0,Combo,WT,73.95833333333334,71,71,0,0,0,21,71,71,71,0,71,71,71,71,0,0,60,71,71,71,71,71
28,0,1.0,Cycling,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
29,0,1.0,Cycling,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
30,0,1.0,Cycling,UI,13.541666666666666,13,13,0,0,0,3,13,13,13,0,13,13,13,13,0,0,8,13,13,13,13,13
31,0,1.0,Cycling,WT,76.04166666666666,73,73,0,0,0,21,73,73,73,0,73,73,73,73,0,0,61,73,73,73,73,73
32,0,1.0,Mixing,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
33,0,1.0,Mixing,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
34,0,1.0,Mixing,UI,15.625,15,15,0,0,0,3,15,15,15,0,15,15,15,15,0,0,9,15,15,15,15,15
35,0,1.0,Mixing,WT,73.95833333333334,71,71,0,0,0,21,71,71,71,0,71,71,71,71,0,0,60,71,71,71,71,71
36,0,1.0,Mono A,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
37,0,1.0,Mono A,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
38,0,1.0,Mono A,UI,17.708333333333336,17,17,0,0,0,4,17,17,17,0,17,17,17,17,0,0,11,17,17,17,17,17
39,0,1.0,Mono A,WT,71.875,69,69,0,0,0,20,69,69,69,0,69,69,69,69,0,0,58,69,69,69,69,69
40,0,1.0,Mono B,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
41,0,1.0,Mono B,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
42,0,1.0,Mono B,UI,15.625,15,15,0,0,0,3,15,15,15,0,15,15,15,15,0,0,9,15,15,15,15,15
43,0,1.0,Mono B,WT,73.95833333333334,71,71,0,0,0,21,71,71,71,0,71,71,71,71,0,0,60,71,71,71,71,71
44,0,1.0,No treatment,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
45,0,1.0,No treatment,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
46,0,1.0,No treatment,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
47,0,1.0,No treatment,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70
48,0,2.0,Combo,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
49,0,2.0,Combo,B_r,4.166666666666666,4,4,0,0,0,0,4,4,4,0,4,4,4,4,0,0,3,4,4,4,4,4
50,0,2.0,Combo,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
51,0,2.0,Combo,WT,73.95833333333334,71,71,0,0,0,21,71,71,71,0,71,71,71,71,0,0,60,71,71,71,71,71
52,0,2.0,Cycling,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
53,0,2.0,Cycling,B_r,4.166666666666666,4,4,0,0,0,0,4,4,4,0,4,4,4,4,0,0,3,4,4,4,4,4
54,0,2.0,Cycling,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
55,0,2.0,Cycling,WT,73.95833333333334,71,71,0,0,0,21,71,71,71,0,71,71,71,71,0,0,60,71,71,71,71,71
56,0,2.0,Mixing,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
57,0,2.0,Mixing,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
58,0,2.0,Mixing,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
59,0,2.0,Mixing,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70
60,0,2.0,Mono A,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
61,0,2.0,Mono A,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
62,0,2.0,Mono A,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
63,0,2.0,Mono A,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70
64,0,2.0,Mono B,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
65,0,2.0,Mono B,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
66,0,2.0,Mono B,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
67,0,2.0,Mono B,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70
68,0,2.0,No treatment,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
69,0,2.0,No treatment,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
70,0,2.0,No treatment,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
71,0,2.0,No treatment,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70
72,0,3.0,Combo,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
73,0,3.0,Combo,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
74,0,3.0,Combo,UI,15.625,15,15,0,0,0,3,15,15,15,0,15,15,15,15,0,0,9,15,15,15,15,15
75,0,3.0,Combo,WT,73.95833333333334,71,71,0,0,0,21,71,71,71,0,71,71,71,71,0,0,60,71,71,71,71,71
76,0,3.0,Cycling,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
77,0,3.0,Cycling,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
78,0,3.0,Cycling,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
79,0,3.0,Cycling,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70
80,0,3.0,Mixing,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
81,0,3.0,Mixing,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
82,0,3.0,Mixing,UI,15.625,15,15,0,0,0,3,15,15,15,0,15,15,15,15,0,0,10,15,15,15,15,15
83,0,3.0,Mixing,WT,73.95833333333334,71,71,0,0,0,21,71,71,71,0,71,71,71,71,0,0,59,71,71,71,71,71
84,0,3.0,Mono A,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
85,0,3.0,Mono A,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
86,0,3.0,Mono A,UI,15.625,15,15,0,0,0,3,15,15,15,0,15,15,15,15,0,0,10,15,15,15,15,15
87,0,3.0,Mono A,WT,73.95833333333334,71,71,0,0,0,21,71,71,71,0,71,71,71,71,0,0,59,71,71,71,71,71
88,0,3.0,Mono B,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
89,0,3.0,Mono B,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
90,0,3.0,Mono B,UI,14.583333333333334,14,14,0,0,0,3,14,14,14,0,14,14,14,14,0,0,8,14,14,14,14,14
91,0,3.0,Mono B,WT,75.0,72,72,0,0,0,21,72,72,72,0,72,72,72,72,0,0,61,72,72,72,72,72
92,0,3.0,No treatment,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
93,0,3.0,No treatment,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5
94,0,3.0,No treatment,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16
95,0,3.0,No treatment,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70
96,1,0.0,Combo,A_r,1.0416666666666665,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
97,1,0.0,Combo,UI,79.16666666666666,76,76,17,17,23,18,76,76,76,57,76,76,76,76,57,57,56,76,19,19,19,76
98,1,0.0,Combo,WT,19.791666666666664,19,19,6,6,3,3,19,19,19,19,19,19,19,19,19,19,16,19,0,0,0,19
99,1,0.0,Cycling,A_r,7.291666666666667,7,7,3,3,2,0,7,7,7,7,7,7,7,7,7,7,5,7,0,0,0,7
100,1,0.0,Cycling,UI,89.58333333333334,86,86,19,19,24,21,86,86,86,68,86,86,86,86,68,68,66,86,18,18,18,86
101,1,0.0,Cycling,WT,3.125,3,3,2,2,0,0,3,3,3,2,3,3,3,3,2,2,2,3,1,1,1,3
102,1,0.0,Mixing,A_r,2.083333333333333,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2
103,1,0.0,Mixing,B_r,2.083333333333333,2,2,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2
104,1,0.0,Mixing,UI,80.20833333333334,77,77,18,18,24,16,77,77,77,59,77,77,77,77,59,59,60,77,18,18,18,77
105,1,0.0,Mixing,WT,15.625,15,15,3,3,2,4,15,15,15,14,15,15,15,15,14,14,9,15,1,1,1,15
106,1,0.0,Mono A,A_r,6.25,6,6,3,3,2,0,6,6,6,6,6,6,6,6,6,6,4,6,0,0,0,6
107,1,0.0,Mono A,UI,93.75,90,90,21,21,24,21,90,90,90,71,90,90,90,90,71,71,69,90,19,19,19,90
108,1,0.0,Mono B,A_r,1.0416666666666665,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
109,1,0.0,Mono B,B_r,4.166666666666666,4,4,1,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4
110,1,0.0,Mono B,UI,69.79166666666666,67,67,11,11,20,17,67,67,67,52,67,67,67,67,52,52,48,67,15,15,15,67
111,1,0.0,Mono B,WT,25.0,24,24,11,11,6,3,24,24,24,20,24,24,24,24,20,20,20,24,4,4,4,24
112,1,0.0,No treatment,A_r,7.291666666666667,7,7,3,3,2,0,7,7,7,7,7,7,7,7,7,7,5,7,0,0,0,7
113,1,0.0,No treatment,B_r,4.166666666666666,4,4,1,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4
114,1,0.0,No treatment,UI,8.333333333333332,8,8,0,0,2,2,8,8,8,5,8,8,8,8,5,5,5,8,3,3,3,8
115,1,0.0,No treatment,WT,80.20833333333334,77,77,20,20,22,18,77,77,77,61,77,77,77,77,61,61,59,77,16,16,16,77
116,1,1.0,Combo,UI,83.33333333333334,80,80,15,15,26,18,80,80,80,63,80,80,80,80,63,63,60,80,17,17,17,80
