,transfer_n,strategy,replicate,treated_phenotype_machine,fraction,contaminated,exclude,infected_by_strains,infected_by_wells,infection_to_well,infection_to_well_id,pheno_num,pheno_str,phenotype,plate,received_transfer_strain,rep,count,rwell,tip,transfer_from_well_id,transfer_to_well,transfer_to_well_id,treatment_with,turnover_id,turnover_strain,turnover_strain_real,well,input_wells,expected_pheno_str_machine,treated_pheno_str_machine,treated_pheno_num_machine
0,0,Combo,0.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
1,0,Combo,0.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
2,0,Combo,0.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
3,0,Combo,0.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
4,0,Combo,1.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
5,0,Combo,1.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
6,0,Combo,1.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
7,0,Combo,1.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
8,0,Combo,2.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
9,0,Combo,2.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
10,0,Combo,2.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
11,0,Combo,2.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
12,0,Combo,3.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
13,0,Combo,3.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
14,0,Combo,3.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
15,0,Combo,3.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
16,0,Cycling,0.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
17,0,Cycling,0.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
18,0,Cycling,0.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
19,0,Cycling,0.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
20,0,Cycling,1.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
21,0,Cycling,1.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
22,0,Cycling,1.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
23,0,Cycling,1.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
24,0,Cycling,2.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
25,0,Cycling,2.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
26,0,Cycling,2.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
27,0,Cycling,2.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
28,0,Cycling,3.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
29,0,Cycling,3.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
30,0,Cycling,3.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
31,0,Cycling,3.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
32,0,Mixing,0.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
33,0,Mixing,0.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
34,0,Mixing,0.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
35,0,Mixing,0.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
36,0,Mixing,1.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
37,0,Mixing,1.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
38,0,Mixing,1.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
39,0,Mixing,1.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
40,0,Mixing,2.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
41,0,Mixing,2.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
42,0,Mixing,2.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
43,0,Mixing,2.0,WT,72.91666666666666,70,70,0,0,0,21,70,70,70,70,0,70,70,70,70,0,0,59,70,70,70,70,70,70,70,70,70
44,0,Mixing,3.0,A_r,5.208333333333334,5,5,0,0,0,2,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
45,0,Mixing,3.0,B_r,5.208333333333334,5,5,0,0,0,0,5,5,5,5,0,5,5,5,5,0,0,4,5,5,5,5,5,5,5,5,5
46,0,Mixing,3.0,UI,16.666666666666664,16,16,0,0,0,3,16,16,16,16,0,16,16,16,16,0,0,10,16,16,16,16,16,16,16,16,16
