x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
21,1033,362,15,27,0.5699539639199367,1,101,104,97,60,17,104,0
28,921,155,5,41,0.13309347064774943,1,143,148,128,53,34,148,0
28,956,99,4,31,0.13454050598463266,1,143,148,128,53,34,148,0
29,975,39,3,11,0.3551585571149763,1,141,144,126,49,31,144,0
29,987,24,0,0,0.0,1,143,145,128,47,29,145,0
33,176,180,11,24,0.4507515069500799,1,102,111,96,67,34,111,0
39,192,33,3,9,0.3650546994275238,1,129,139,140,131,20,140,0
65,134,9,0,0,0.0,1,156,173,160,94,25,173,0
70,1073,9,0,0,0.0,1,142,145,133,53,21,145,0
80,132,286,8,283,0.02993274641561638,1,152,163,151,81,18,163,0
85,1089,12,0,0,0.0,1,142,145,131,51,24,145,0
91,1095,9,0,0,0.0,1,143,148,126,52,37,148,0
101,1109,128,8,21,0.37466366474586804,1,106,111,97,57,32,111,0
106,100,155,7,28,0.2753088478176347,1,111,121,112,89,21,121,0
112,557,18,0,0,0.0,0,154,169,150,76,28,169,0
153,107,203,4,61,0.07645218752242228,1,141,151,149,119,16,151,0
205,464,283,18,18,0.9828082530945728,1,147,157,126,56,50,157,0
218,107,33,0,0,0.0,1,142,155,146,98,21,155,0
219,392,1408,36,50,0.7265217879651582,0,156,166,141,59,38,166,19
227,107,12,0,0,0.0,1,142,152,144,93,16,152,0
229,446,434,22,23,0.9780372740498068,1,148,159,127,57,51,159,0
231,464,89,10,10,0.9338021691803876,1,150,159,138,60,33,159,0
250,107,116,6,32,0.20736075556646685,1,144,152,152,127,13,152,0
261,466,9,0,0,0.0,0,161,176,155,72,30,176,0
276,461,206,15,15,0.9966393936700771,0,148,159,129,58,48,159,0
284,638,23,4,5,0.7745967115510942,0,148,163,145,77,28,163,0
324,464,2106,50,52,0.9529442468689207,0,158,173,142,63,45,173,18
347,106,522,5,147,0.03858054339455007,1,130,140,138,118,18,140,0
371,793,160,13,14,0.9277899365651424,0,153,157,124,47,53,157,0
379,754,1797,42,51,0.8262266878856389,0,160,170,135,54,52,170,12
381,239,1737,42,51,0.8133098755501403,0,157,165,133,53,49,165,20
383,353,15,0,0,0.0,0,164,182,161,78,29,182,0
396,811,210,15,16,0.9503382126553022,0,150,160,124,54,57,160,0
397,1107,36,0,0,0.0,1,138,146,135,73,19,146,0
436,735,1596,36,54,0.6652994691682588,0,160,171,132,54,58,171,11
445,173,1340,37,45,0.8157609830385689,0,159,166,133,51,50,166,21
446,237,427,21,23,0.9206956694555354,0,157,161,128,47,52,161,0
449,799,1196,37,39,0.9399445826983475,0,164,174,139,54,51,174,13
451,851,17,0,0,0.0,0,159,171,149,65,32,171,0
489,752,1103,34,39,0.8734354183328924,0,164,176,136,55,57,176,10
498,463,1898,45,49,0.9194145241313639,0,167,182,141,58,57,182,17
531,268,12,0,0,0.0,0,173,188,165,70,31,188,0
543,747,1525,41,44,0.9299189891120618,0,162,173,131,53,61,173,9
557,458,232,16,16,0.9643459073802244,0,172,188,149,59,52,188,0
558,809,1338,40,40,0.98637634065842,0,166,176,139,53,53,176,14
604,969,2447,54,61,0.8871892434970917,1,149,156,123,51,53,156,0
609,1028,741,27,36,0.7569902619601263,0,146,155,124,54,50,155,15
637,572,15,0,0,0.0,0,167,189,150,66,52,189,0
657,1025,22,4,6,0.6875326753841516,0,154,166,146,68,30,166,0
670,967,2285,52,55,0.9449067495059754,1,151,158,124,51,54,158,0
675,550,12,0,0,0.0,0,176,199,157,65,53,199,0
678,771,9,0,0,0.0,0,169,188,158,69,40,188,0
759,842,83,5,17,0.3455032371590093,0,155,171,145,68,38,171,0
784,973,911,31,36,0.849064610406555,0,145,154,125,55,48,154,16
801,1137,1367,5,378,0.013803528236854318,0,142,157,180,153,53,180,0
836,526,12,0,0,0.0,0,166,188,149,66,52,188,0
889,455,9,0,0,0.0,0,165,186,145,64,56,186,0
903,514,1293,38,43,0.8757403243595583,0,157,171,122,54,73,171,1
916,269,19,0,0,0.0,0,162,175,145,60,43,175,0
932,1026,44,6,9,0.6815899141314856,0,144,158,145,88,22,158,0
953,741,9,0,0,0.0,0,155,174,144,69,43,174,0
960,557,23,3,6,0.5365254046950514,0,149,171,133,67,56,171,0
1015,851,9,0,0,0.0,0,149,164,141,70,35,164,0
1044,636,9,0,0,0.0,1,154,170,131,59,58,170,0
1058,290,1824,41,55,0.7532836520491468,0,159,169,134,54,52,169,2
1059,493,976,31,39,0.8160626541325845,1,156,170,121,54,73,170,0
1060,525,475,20,33,0.6096718464168229,1,154,169,126,57,64,169,0
1061,229,1781,34,63,0.5504983895845331,0,162,170,133,51,55,170,0
1061,1001,15,0,0,0.0,0,151,162,145,69,26,162,0
1063,636,881,32,33,0.9617098729908056,1,153,166,123,55,66,166,0
1065,1117,3349,26,232,0.11509533709566783,1,153,163,155,93,15,163,0
1068,916,856,30,36,0.8515599999873141,0,143,152,123,55,48,152,24
1070,686,610,26,29,0.9015139010886392,1,148,161,115,54,72,161,0
1074,704,18,0,0,0.0,1,151,165,137,63,43,165,0
1082,676,9,0,0,0.0,1,150,167,133,63,51,167,0
1083,498,9,0,0,0.0,1,155,169,133,59,54,169,0
1116,529,15,0,0,0.0,1,155,172,139,64,48,172,0
1117,632,1471,39,46,0.8344649067244732,1,147,160,116,55,70,160,0
1117,852,1596,40,48,0.8419431100797696,0,145,155,121,54,55,155,22
1120,518,216,15,19,0.7854781883072249,1,153,169,132,60,55,169,0
1122,911,1379,39,42,0.9385437859144719,0,142,152,118,54,57,152,23
1140,630,15,0,0,0.0,1,147,163,125,60,59,163,0
1173,338,176,13,15,0.8891027138537272,0,148,155,120,50,57,155,0
1285,795,527,24,26,0.9304825137857334,0,144,153,122,54,51,153,25
1289,632,1505,37,49,0.7668607190220723,0,143,154,120,56,56,154,4
1290,342,1391,39,44,0.891563543259481,0,146,156,122,55,55,156,3
1295,743,1137,35,41,0.8542739625568112,1,141,151,117,54,57,151,0
1340,810,586,24,29,0.8480173024102664,0,146,152,124,51,46,152,8
