x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
9,958,18,0,0,0.0,1,142,155,155,127,21,155,0
18,968,9,0,0,0.0,1,146,150,132,51,30,150,0
23,131,76,5,17,0.3179192685860092,1,72,72,110,170,88,110,0
23,1033,394,15,35,0.4417769644599878,1,103,108,86,52,51,108,0
25,955,720,6,132,0.04988270284120248,1,138,144,118,52,46,144,0
34,175,174,10,26,0.3719337767985554,1,110,110,108,42,4,110,0
39,900,17,0,0,0.0,1,138,146,139,90,13,146,0
40,190,31,4,8,0.5156268913063151,1,121,131,131,127,19,131,0
60,1079,28,3,8,0.4349044332016593,1,145,150,130,53,34,150,0
65,133,9,0,0,0.0,1,159,173,158,82,22,173,0
71,1083,319,11,42,0.270764160163978,1,143,146,127,49,33,146,0
78,133,333,8,221,0.039861537297565156,1,155,163,144,60,29,163,0
100,1107,131,10,21,0.4772750479067881,1,114,117,98,49,41,117,0
108,101,144,8,24,0.3511017259923451,1,117,121,107,54,29,121,0
112,557,9,0,0,0.0,0,156,169,150,71,28,169,0
121,1102,18,0,0,0.0,1,118,112,108,16,21,118,0
138,110,15,0,0,0.0,1,147,159,149,92,19,159,0
158,806,2189,49,54,0.9112900959412565,0,144,148,115,47,56,148,184
159,745,1594,42,46,0.9118157942230356,0,148,153,121,49,53,153,183
162,521,1478,40,44,0.9106663281423888,0,150,157,123,51,55,157,180
162,974,1799,46,47,0.9652699645118162,0,133,136,109,47,50,136,202
163,689,1281,39,40,0.9808913698165044,0,149,155,121,49,55,155,182
164,406,1431,41,42,0.9953383489874909,0,150,160,126,54,54,160,165
164,462,1341,38,43,0.8918466669936638,0,152,159,126,51,52,159,166
164,576,1433,40,42,0.9540481962665799,0,151,158,124,51,54,158,181
166,183,1880,47,48,0.9791625004309898,0,144,155,125,58,49,155,208
166,241,1763,46,47,0.964763887669021,0,149,155,129,52,42,155,203
167,632,1225,37,40,0.9139849313907155,0,149,157,120,51,60,157,128
219,520,1245,38,39,0.9628259219792621,0,157,167,132,54,53,167,179
220,462,1246,37,40,0.9255429252109537,0,154,164,129,54,54,164,167
220,632,1284,38,41,0.9351831344094635,0,156,165,135,55,46,165,127
220,687,1090,35,37,0.9394594188425083,0,153,161,124,51,58,161,195
220,806,1532,42,45,0.9371607529232069,0,147,153,119,50,56,153,197
221,185,686,26,32,0.8177371510667936,0,147,153,127,52,43,153,207
