x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
9,953,15,0,0,0.0,0,149,152,161,159,19,161,0
9,1014,15,0,0,0.0,0,144,149,148,119,8,149,0
22,1033,352,15,34,0.4508140090972794,1,109,109,91,42,42,109,0
24,955,648,6,123,0.05605218468499086,1,143,148,125,51,39,148,0
33,176,174,9,26,0.3525650562337839,1,109,115,103,63,26,115,0
39,190,32,3,9,0.36996349955936864,1,137,140,129,54,20,140,0
41,251,9,0,0,0.0,1,151,159,166,147,23,166,0
59,152,9,0,0,0.0,1,153,164,148,71,24,164,0
60,1070,12,0,0,0.0,1,144,147,126,48,36,147,0
66,1076,24,4,6,0.6102670533650729,1,143,149,125,53,41,149,0
78,131,263,9,56,0.16761118610513578,1,155,167,156,88,18,167,0
80,1090,98,4,25,0.17423641910411247,1,144,148,123,49,43,148,0
100,1107,120,10,18,0.5701975997663338,1,125,129,114,53,29,129,0
107,101,109,7,18,0.4067917976314625,1,119,127,112,65,30,127,0
111,111,12,0,0,0.0,1,145,157,153,113,19,157,0
111,557,12,0,0,0.0,0,157,169,149,67,30,169,0
121,1103,25,3,9,0.38028323875643066,1,118,120,108,49,25,120,0
148,692,2855,52,69,0.7506071721053381,1,143,149,115,50,58,149,0
156,402,2041,47,52,0.905492232054724,0,144,154,119,54,57,154,39
157,466,1892,47,49,0.9738309152114794,0,144,154,120,54,56,154,40
174,709,12,0,0,0.0,1,152,159,128,52,49,159,0
198,700,9,0,0,0.0,1,151,158,124,51,54,158,0
215,464,1416,40,43,0.93368008838627,0,150,160,125,54,55,160,90
218,400,1491,38,48,0.7868405070322967,0,151,159,124,52,56,159,38
222,687,3355,58,72,0.8159111525880921,1,149,156,118,50,62,156,0
226,866,15,0,0,0.0,0,155,164,147,65,26,164,0
266,299,2802,54,63,0.8652785758147419,0,152,161,132,55,45,161,91
267,579,2029,47,52,0.914277469856737,0,146,154,115,51,64,154,79
270,519,1413,37,46,0.7994221531259852,0,150,161,121,54,63,161,78
271,464,1033,35,35,0.9806276739130713,0,153,163,126,53,57,163,77
272,404,1699,44,46,0.9497788224349217,0,157,164,130,51,52,164,37
273,237,1216,34,43,0.7843292377090936,0,149,158,124,53,54,158,92
277,974,421,22,22,0.9734333273907565,0,132,136,111,49,46,136,0
280,1105,15,0,0,0.0,1,129,134,128,77,11,134,0
284,637,12,0,0,0.0,0,152,167,144,70,35,167,0
320,108,117,0,0,0.0,1,146,156,151,106,16,156,0
327,463,1199,36,39,0.9355845462836133,0,152,163,123,54,62,163,75
329,236,1047,34,37,0.9215614386665928,0,152,162,128,54,53,162,93
329,403,1019,34,37,0.9173661813115904,0,149,160,117,53,68,160,36
329,519,1144,35,38,0.9138323632745428,0,150,161,121,54,63,161,74
332,581,1734,42,49,0.8689125084280547,0,145,156,116,54,65,156,80
333,296,1884,46,50,0.9123410644093007,0,151,161,127,54,53,161,97
349,107,12,0,0,0.0,1,146,155,148,94,14,155,0
374,741,1726,43,50,0.8623297473661633,0,147,155,116,51,64,155,21
376,809,1351,39,42,0.9292361410228731,1,143,151,114,51,62,151,0
381,178,1509,39,47,0.8412008903396595,0,151,157,123,50,55,157,95
382,462,1025,34,36,0.9343503932542797,0,154,166,126,55,61,166,76
384,239,1648,41,48,0.8547462674718154,0,147,154,121,51,54,154,94
384,403,1685,41,50,0.8365886353509961,0,156,168,127,54,62,168,35
384,523,1359,37,44,0.843246401443821,0,150,163,120,55,67,163,73
388,107,180,5,41,0.13585264428297048,1,139,148,144,108,15,148,0
395,831,9,0,0,0.0,0,146,155,118,52,60,155,0
434,833,9,0,0,0.0,1,147,157,128,57,47,157,0
438,481,9,0,0,0.0,1,157,170,128,55,62,170,0
441,460,1122,35,38,0.92801069953488,1,157,170,126,55,65,170,0
441,741,1415,43,46,0.9186174750749168,0,151,162,120,53,66,162,20
441,807,1417,41,45,0.9075319765761586,1,149,157,118,51,63,157,0
442,398,1444,40,45,0.8958912208797,0,153,165,125,55,61,165,34
442,522,1589,42,46,0.9270057427512247,1,153,166,122,55,67,166,0
446,177,2038,46,54,0.8571882697311682,0,150,157,124,51,53,157,96
447,242,1819,45,49,0.9189033126785213,1,148,156,122,52,55,156,0
458,502,9,0,0,0.0,1,150,168,126,60,63,168,0
461,263,9,0,0,0.0,1,155,166,132,56,52,166,0
466,902,9,0,0,0.0,1,140,153,123,60,49,153,0
488,973,1278,34,46,0.7401315933784637,0,140,147,114,51,57,147,47
490,910,1513,40,47,0.8623836317036008,1,139,147,107,51,69,147,0
490,1035,1807,43,51,0.8481121239618169,1,134,140,112,51,51,140,0
492,687,1187,33,43,0.7783510062504682,0,150,162,116,53,72,162,22
493,490,9,0,0,0.0,1,158,174,129,57,65,174,0
494,629,1186,37,40,0.9262010868292379,1,150,162,114,53,75,162,0
495,603,12,0,0,0.0,1,153,170,132,61,56,170,0
496,400,1211,33,43,0.772557409030959,0,154,166,119,53,72,166,33
497,469,1158,36,40,0.8827920915913656,1,157,170,124,54,69,170,0
498,746,779,30,31,0.9425469504970049,0,155,168,124,55,66,168,19
498,804,973,31,38,0.8184138214812341,0,149,160,118,53,66,160,23
507,1014,9,0,0,0.0,1,136,142,114,51,50,142,0
508,492,12,0,0,0.0,1,156,169,126,55,64,169,0
508,892,15,0,0,0.0,1,146,153,117,50,60,153,0
509,169,21,4,6,0.6957778321173012,1,167,182,161,72,29,182,0
511,178,24,3,8,0.3774460225548629,1,164,179,158,72,29,179,0
515,171,26,4,5,0.8660254144230933,1,166,181,160,72,29,181,0
526,181,12,0,0,0.0,1,163,178,157,72,30,178,0
527,165,18,0,0,0.0,1,168,183,161,71,30,183,0
534,177,28,4,6,0.6582917267430083,1,163,178,157,72,30,178,0
537,921,23,4,6,0.6457637144967718,1,145,152,118,51,57,152,0
540,611,9,0,0,0.0,1,155,171,127,57,65,171,0
542,926,12,0,0,0.0,1,143,151,116,52,59,151,0
543,169,150,12,20,0.5812522838068256,1,167,182,159,70,32,182,0
545,889,9,0,0,0.0,1,148,157,125,54,51,157,0
546,378,29,4,8,0.48967149439832247,1,156,170,134,59,53,170,0
548,490,22,4,5,0.8737262400095507,1,158,174,127,56,68,174,0
548,747,826,30,35,0.8781382059803549,0,154,167,123,55,67,167,18
550,1038,1735,45,47,0.9556725472907425,0,135,141,113,51,50,141,48
551,804,1083,32,42,0.7485893947026313,1,150,161,118,53,68,161,0
552,974,901,30,36,0.8410864031582462,0,144,151,118,51,55,151,46
555,691,1259,37,41,0.8941670650004758,0,153,165,117,53,74,165,17
556,164,26,4,8,0.5622664212780638,1,164,179,158,72,29,179,0
556,375,20,0,0,0.0,1,156,171,134,59,55,171,0
557,468,1251,34,44,0.7767352484518155,1,155,169,120,54,73,169,0
558,628,1599,42,46,0.9200206770433382,1,156,168,120,53,72,168,0
560,401,1504,40,47,0.8544518021005398,1,156,167,123,53,67,167,0
560,912,1568,43,47,0.911829267311408,1,146,154,117,51,61,154,0
564,825,9,0,0,0.0,1,151,162,128,56,53,162,0
570,186,12,0,0,0.0,1,162,177,156,72,30,177,0
571,894,12,0,0,0.0,1,149,157,122,52,56,157,0
574,649,15,0,0,0.0,1,159,172,126,54,68,172,0
576,164,34,4,8,0.5047181990858116,0,167,182,159,70,32,182,0
579,182,9,0,0,0.0,1,163,178,157,72,30,178,0
584,413,16,0,0,0.0,1,161,174,128,54,67,174,0
587,1134,12,0,0,0.0,0,149,157,191,161,56,191,0
589,409,12,0,0,0.0,1,160,173,130,55,63,173,0
592,164,32,5,7,0.7514758673693838,1,168,183,160,70,32,183,0
593,174,85,10,13,0.7821882407409791,1,166,181,158,70,32,181,0
600,762,19,0,0,0.0,1,156,168,125,54,65,168,0
601,1134,9,0,0,0.0,0,151,156,189,164,51,189,0
607,739,1184,34,42,0.8049796088368733,1,156,168,122,53,69,168,0
607,1038,1867,44,51,0.8689107461902416,0,135,141,113,51,50,141,89
609,808,1217,34,44,0.7753768710504284,0,150,161,118,53,68,161,24
609,969,1109,34,40,0.8552271204149551,0,142,148,114,50,58,148,45
612,168,121,7,21,0.3746109454565681,1,167,182,159,70,32,182,0
612,1134,15,0,0,0.0,0,149,157,189,161,53,189,0
625,172,15,0,0,0.0,1,168,180,156,63,34,180,0
626,165,29,4,7,0.5930439538732257,1,170,182,158,63,33,182,0
635,179,9,0,0,0.0,1,165,180,157,70,32,180,0
636,165,89,9,11,0.8444102190839736,1,170,182,158,63,33,182,0
640,1134,21,2,8,0.3034088652473453,0,148,158,187,159,53,187,0
650,793,9,0,0,0.0,1,152,164,122,54,65,164,0
652,754,14,0,0,0.0,1,156,168,123,53,68,168,0
656,170,28,4,6,0.7775695626991274,1,168,183,157,67,36,183,0
656,1011,9,0,0,0.0,1,142,149,120,52,49,149,0
658,1135,12,0,0,0.0,1,146,155,184,159,52,184,0
663,169,12,0,0,0.0,1,169,182,156,63,36,182,0
664,968,1010,32,37,0.8713390179236953,0,138,145,111,51,59,145,44
665,1034,1522,40,45,0.8913540720842115,1,138,145,112,51,58,145,0
666,739,1184,37,41,0.9176604628917023,1,153,165,119,53,71,165,0
666,807,1177,34,43,0.7916704237090502,1,154,165,122,53,66,165,0
678,785,9,0,0,0.0,1,152,165,125,56,61,165,0
682,749,12,0,0,0.0,1,155,168,122,54,69,168,0
700,335,9,0,0,0.0,1,158,174,127,56,68,174,0
709,792,15,0,0,0.0,1,153,167,126,57,62,167,0
715,356,1639,44,47,0.9373114720162763,1,161,173,125,53,70,173,0
717,174,2179,48,55,0.8678706536322346,0,156,164,125,51,60,164,14
718,292,1190,35,43,0.8070212117298139,0,160,171,128,53,64,171,16
719,238,1177,32,44,0.7410892588790756,0,156,167,124,53,65,167,15
721,740,1146,34,43,0.7871532329618164,1,154,167,121,54,70,167,0
721,807,879,30,37,0.8062796155031384,1,152,163,120,53,67,163,0
723,781,12,0,0,0.0,1,151,165,129,59,55,165,0
723,969,1127,34,40,0.8483653493650606,1,138,145,111,51,59,145,0
724,1036,1563,41,47,0.8680509405047815,0,134,140,112,51,51,140,43
726,762,9,0,0,0.0,1,155,168,122,54,69,168,0
734,949,9,0,0,0.0,1,144,153,126,56,44,153,0
742,803,9,0,0,0.0,1,150,164,127,58,57,164,0
