x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
8,892,12,0,0,0.0,1,145,150,153,143,13,153,0
8,909,104,4,27,0.17427176551269147,1,144,151,150,121,11,151,0
8,935,41,3,13,0.29781978639258677,1,144,152,149,111,13,152,0
8,953,60,6,15,0.4124254120354967,1,142,148,146,113,10,148,0
8,967,37,3,12,0.25384863021779897,1,145,151,148,106,10,151,0
8,979,12,0,0,0.0,1,144,150,148,113,10,150,0
8,989,41,4,11,0.4021160563242858,1,143,149,146,106,10,149,0
8,1012,37,3,11,0.28037795376192026,1,139,147,148,132,15,148,0
16,990,61,3,18,0.20461458998588042,1,142,147,124,51,39,147,0
16,1009,12,0,0,0.0,1,140,146,118,51,48,146,0
17,977,9,0,0,0.0,1,144,148,122,49,44,148,0
22,130,102,6,18,0.36061597925549277,1,59,65,102,164,107,102,0
22,943,1338,13,128,0.1058117348882078,1,140,143,122,48,37,143,0
22,1032,416,19,31,0.6063576124925139,1,102,101,81,40,52,102,0
33,176,182,10,25,0.4256378181018453,1,106,110,95,53,34,110,0
35,908,57,3,22,0.13715296500691246,1,134,142,137,100,14,142,0
35,955,12,0,0,0.0,1,134,140,136,99,10,140,0
35,965,33,0,0,0.0,1,135,140,140,127,9,140,0
35,974,9,0,0,0.0,1,134,140,140,127,10,140,0
39,191,22,3,6,0.5481891660498611,1,127,137,130,97,18,137,0
41,249,12,0,0,0.0,1,146,158,158,127,19,158,0
71,1084,412,7,90,0.08607534171339258,1,142,144,122,46,38,144,0
74,130,503,7,79,0.0953655666307467,1,151,165,142,68,35,165,0
99,1107,125,10,20,0.489045423982282,1,120,127,109,59,36,127,0
106,100,87,6,14,0.46714598525688006,1,116,122,113,70,18,122,0
110,111,18,0,0,0.0,1,137,145,154,150,28,154,0
111,557,12,0,0,0.0,0,154,164,140,60,37,164,0
118,245,12,0,0,0.0,0,155,167,145,65,33,167,0
120,1104,38,4,10,0.37314014743294865,1,99,102,103,138,9,103,0
276,107,1195,4,338,0.014142606554161309,1,130,138,128,76,18,138,0
285,638,15,0,0,0.0,0,146,158,136,65,35,158,0
351,217,9,0,0,0.0,0,157,169,148,66,31,169,0
462,1035,9,0,0,0.0,0,147,154,136,59,29,154,0
497,329,9,0,0,0.0,0,158,168,141,58,40,168,0
517,1034,15,0,0,0.0,0,146,155,136,62,31,155,0
532,173,15,0,0,0.0,0,159,169,144,59,37,169,0
555,163,14,0,0,0.0,0,161,171,146,59,37,171,0
556,1031,17,0,0,0.0,0,146,155,136,62,31,155,0
601,948,14,0,0,0.0,0,147,156,137,62,31,156,0
619,1035,9,0,0,0.0,0,148,157,138,62,30,157,0
629,961,15,0,0,0.0,0,142,154,134,67,33,154,0
637,572,12,0,0,0.0,0,157,179,141,67,54,179,0
660,106,20,0,0,0.0,1,162,181,176,116,26,181,0
663,507,9,0,0,0.0,0,161,180,146,66,48,180,0
697,1012,9,0,0,0.0,0,145,154,137,65,28,154,0
701,741,9,0,0,0.0,0,156,175,145,69,43,175,0
724,459,18,0,0,0.0,0,161,182,143,65,54,182,0
733,773,14,0,0,0.0,0,154,173,145,71,41,173,0
735,413,9,0,0,0.0,0,159,180,141,65,55,180,0
745,333,9,0,0,0.0,0,163,177,144,60,47,177,0
757,847,17,0,0,0.0,0,149,165,139,68,40,165,0
771,1025,12,0,0,0.0,0,145,157,137,68,32,157,0
785,1038,9,0,0,0.0,0,148,159,142,69,27,159,0
790,158,9,0,0,0.0,0,166,177,147,58,43,177,0
793,426,9,0,0,0.0,0,159,180,141,65,55,180,0
797,594,9,0,0,0.0,0,161,183,145,67,52,183,0
813,719,9,0,0,0.0,0,156,175,146,70,42,175,0
840,162,12,0,0,0.0,1,166,177,143,56,48,177,0
849,170,9,0,0,0.0,1,163,174,140,56,49,174,0
861,561,9,0,0,0.0,0,161,183,145,67,52,183,0
874,403,12,0,0,0.0,0,161,178,142,62,51,178,0
876,556,9,0,0,0.0,0,161,183,144,66,54,183,0
884,1025,9,0,0,0.0,0,145,156,139,70,27,156,0
886,489,9,0,0,0.0,0,161,182,143,65,54,182,0
898,652,9,0,0,0.0,0,158,177,145,67,46,177,0
916,170,20,0,0,0.0,0,164,175,145,58,43,175,0
933,1026,69,10,60,0.17276353817640158,0,138,149,133,71,27,149,0
935,163,27,4,7,0.5662680793459681,1,165,174,145,55,42,174,0
939,156,36,5,9,0.560694550137717,1,167,177,143,54,48,177,0
952,161,33,4,9,0.479505457946016,1,165,174,145,55,42,174,0
962,799,9,0,0,0.0,0,152,168,141,67,40,168,0
996,158,33,3,11,0.3071233829332968,1,164,173,144,55,42,173,0
1001,161,16,0,0,0.0,1,165,174,145,55,42,174,0
1003,478,9,0,0,0.0,0,157,177,140,65,53,177,0
1005,158,12,0,0,0.0,1,166,175,146,55,42,175,0
1008,1033,9,0,0,0.0,0,144,155,139,71,26,155,0
1009,196,9,0,0,0.0,0,157,167,140,58,41,167,0
1029,421,9,0,0,0.0,0,157,174,140,63,49,174,0
1043,168,41,5,10,0.5399238049771655,1,163,172,145,56,40,172,0
1052,174,9,0,0,0.0,1,161,170,143,56,40,170,0
1055,706,9,0,0,0.0,0,151,170,139,68,46,170,0
1061,1001,15,0,0,0.0,0,139,151,132,69,32,151,0
1074,162,30,4,7,0.652820295766848,0,163,172,145,56,40,172,0
1075,677,9,0,0,0.0,0,151,169,143,71,39,169,0
1113,168,9,0,0,0.0,0,162,170,146,56,36,170,0
1124,168,12,0,0,0.0,0,163,171,147,56,35,171,0
1141,565,9,0,0,0.0,1,151,170,140,69,44,170,0
1141,569,12,0,0,0.0,1,151,170,140,69,44,170,0
1147,606,12,0,0,0.0,0,151,167,140,67,41,167,0
1202,443,9,0,0,0.0,0,149,165,136,65,44,165,0
1231,377,9,0,0,0.0,0,147,159,135,63,38,159,0
1451,1110,24,0,0,0.0,1,125,127,113,48,28,127,0
1534,1110,63,0,0,0.0,1,107,109,111,148,9,111,0
1553,1111,65,24,153,0.1623291823163629,1,93,93,105,170,29,105,0
1564,829,539,5,148,0.03863509280449346,1,133,142,126,66,28,142,0
1564,1091,64,4,16,0.26075383836899335,1,119,125,125,127,12,125,0
1571,149,33,3,11,0.293974574237836,1,145,153,132,58,34,153,0
1572,141,9,0,0,0.0,1,146,153,127,53,43,153,0
1572,164,49,4,15,0.2842738107357467,1,146,150,133,52,28,150,0
1572,200,210,4,48,0.10212832972719221,1,146,150,132,51,30,150,0
1572,249,206,5,52,0.11015874584318315,1,144,154,126,57,46,154,0
1573,278,12,0,0,0.0,1,144,153,126,56,44,153,0
1573,291,32,0,0,0.0,1,144,154,127,58,44,154,0
1573,315,70,3,24,0.15376160745518866,1,145,154,128,57,43,154,0
1574,336,42,0,0,0.0,1,148,150,127,46,39,150,0
1574,351,18,0,0,0.0,1,148,150,126,46,40,150,0
1574,364,19,0,0,0.0,1,148,150,126,46,40,150,0
1574,395,32,0,0,0.0,1,147,152,122,49,50,152,0
1575,404,18,0,0,0.0,1,145,152,123,52,48,152,0
1579,1086,38,3,12,0.2912903037819228,1,141,147,129,56,31,147,0
1582,476,12,0,0,0.0,1,143,152,127,57,41,152,0
1582,656,52,4,16,0.26415594911413437,1,143,150,126,54,40,150,0
1582,674,27,4,10,0.39159868597514347,1,142,150,127,57,39,150,0
1583,483,24,0,0,0.0,1,144,152,129,57,38,152,0
1585,695,75,6,14,0.4768434003024369,1,144,150,139,65,18,150,0
1589,185,360,4,109,0.038119326463057705,1,153,156,149,60,11,156,0
1589,607,267,16,35,0.46740627478141833,1,144,147,124,48,39,147,0
1590,256,146,3,46,0.07667725726272988,1,153,156,147,56,14,156,0
1590,936,1823,5,418,0.013752678627621919,1,146,148,152,155,10,152,0
1591,298,119,4,38,0.11254261670926481,1,148,157,157,127,14,157,0
1591,330,90,4,28,0.1509783641345026,1,147,157,156,123,16,157,0
1591,683,30,2,21,0.1330075110427342,1,144,154,149,106,16,154,0
1591,717,104,6,32,0.20775157430212982,1,144,156,146,92,19,156,0
1592,371,185,3,60,0.06067226814118513,1,150,157,164,148,21,164,0
1592,411,91,3,29,0.12572442750165125,1,148,155,157,136,14,157,0
1592,497,488,5,137,0.036946775210372866,1,146,152,150,113,10,152,0
1592,633,12,0,0,0.0,1,142,148,149,133,11,149,0
1592,658,126,3,40,0.09540442617905404,1,141,152,155,136,23,155,0
1593,568,21,0,0,0.0,1,142,151,158,146,25,158,0
1593,582,9,0,0,0.0,1,142,148,154,148,19,154,0
