x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
9,955,24,0,0,0.0,1,157,163,163,127,9,163,0
9,1007,15,0,0,0.0,1,157,158,154,53,6,158,0
9,1012,15,0,0,0.0,1,153,157,153,85,6,157,0
10,908,9,0,0,0.0,1,157,163,163,127,9,163,0
10,971,21,0,0,0.0,1,158,163,145,54,28,163,0
10,987,21,0,0,0.0,1,161,159,144,37,26,161,0
13,606,89,4,21,0.22988490449521945,1,133,132,137,178,9,137,0
14,573,39,4,11,0.3757362815913944,1,128,130,116,48,27,130,0
14,587,60,5,15,0.3492451921535791,1,130,131,118,45,25,131,0
15,559,9,0,0,0.0,0,130,131,107,44,46,131,0
17,907,15,0,0,0.0,1,160,160,134,42,41,160,0
17,943,26,3,8,0.3882545519458491,1,159,159,133,42,41,159,0
17,957,64,3,25,0.13617031082145375,1,159,159,133,42,41,159,0
17,987,21,0,0,0.0,1,157,158,127,43,50,158,0
24,126,9,0,0,0.0,1,116,107,97,22,41,116,0
35,175,192,11,27,0.39984049624309903,1,112,117,90,50,58,117,0
40,190,48,4,11,0.384090001476603,1,131,137,137,127,11,137,0
43,251,21,0,0,0.0,1,158,169,159,88,16,169,0
43,258,18,0,0,0.0,1,160,170,161,89,14,170,0
70,1083,357,13,42,0.3097659929726276,1,158,159,135,44,38,159,0
71,129,580,15,54,0.27866755211639305,1,172,175,148,47,39,175,0
110,103,197,10,27,0.36906249737558894,1,111,117,121,144,21,121,0
112,556,15,0,0,0.0,0,172,180,154,55,36,180,0
117,214,17,0,0,0.0,0,182,188,166,54,29,188,0
119,247,34,5,7,0.7109432194376275,0,179,184,162,52,30,184,0
129,209,9,0,0,0.0,1,190,189,169,40,28,190,0
131,111,45,0,0,0.0,1,162,163,158,51,7,163,0
132,201,29,4,8,0.5578210198979882,1,186,191,169,52,29,191,0
133,244,15,0,0,0.0,0,184,192,169,57,30,192,0
135,196,12,0,0,0.0,1,185,190,168,52,29,190,0
139,200,9,0,0,0.0,1,186,191,169,52,29,191,0
146,110,51,14,23,0.6093544363775366,1,163,166,161,68,7,166,0
149,202,9,0,0,0.0,1,189,191,170,46,28,191,0
155,189,18,0,0,0.0,1,187,192,172,53,26,192,0
157,403,2188,51,52,0.9703402272715951,0,155,156,116,43,65,156,80
158,193,9,0,0,0.0,1,189,193,178,53,19,193,0
