time,type,event,run,plate,barcode,replicate,transfer,comment
2021-05-12T08:00:15Z,timing,readAgar_end,1,6,2021051006,0,18,none
2021-05-12T07:56:12Z,timing,readAgar_start,1,6,2021051006,0,18,none
2021-05-12T07:56:07Z,timing,readAgar_end,1,5,2021051005,0,18,none
2021-05-12T07:52:01Z,timing,readAgar_start,1,5,2021051005,0,18,none
2021-05-12T07:51:56Z,timing,readAgar_end,1,4,2021051004,0,18,none
2021-05-12T07:47:47Z,timing,readAgar_start,1,4,2021051004,0,18,none
2021-05-12T07:47:41Z,timing,readAgar_end,1,3,2021051003,0,18,none
2021-05-12T07:43:40Z,timing,readAgar_start,1,3,2021051003,0,18,none
2021-05-12T07:43:35Z,timing,readAgar_end,1,2,2021051002,0,18,none
2021-05-12T07:39:31Z,timing,readAgar_start,1,2,2021051002,0,18,none
2021-05-12T07:39:25Z,timing,readAgar_end,1,1,2021051001,0,18,none
2021-05-12T07:34:56Z,timing,readAgar_start,1,1,2021051001,0,18,none
2021-05-11T13:52:31Z,timing,end18_end,1,0,none,0,18,none
2021-05-11T13:51:51Z,timing,replication_end,1,6,$AssayPlate.ID$,0,18,none
2021-05-11T13:45:32Z,timing,replication_start,1,6,2021051006,0,18,none
2021-05-11T13:44:29Z,timing,readOD_end,1,6,2021051006,0,18,none
2021-05-11T13:39:41Z,timing,readOD_start,1,6,2021051006,0,18,none
2021-05-11T13:39:39Z,timing,incubation_end,1,6,2021051006,0,17,none
2021-05-11T13:39:13Z,timing,readAgar_end,1,6,2021050806,0,18,none
2021-05-11T13:35:10Z,timing,readAgar_start,1,6,2021050806,0,18,none
2021-05-11T13:34:20Z,timing,replication_end,1,5,$AssayPlate.ID$,0,18,none
2021-05-11T13:28:00Z,timing,replication_start,1,5,2021051005,0,18,none
2021-05-11T13:27:33Z,timing,readOD_end,1,5,2021051005,0,18,none
2021-05-11T13:22:44Z,timing,readOD_start,1,5,2021051005,0,18,none
2021-05-11T13:22:42Z,timing,incubation_end,1,5,2021051005,0,17,none
2021-05-11T13:22:17Z,timing,readAgar_end,1,5,2021050805,0,18,none
2021-05-11T13:18:10Z,timing,readAgar_start,1,5,2021050805,0,18,none
2021-05-11T13:17:21Z,timing,replication_end,1,4,$AssayPlate.ID$,0,18,none
2021-05-11T13:11:03Z,timing,replication_start,1,4,2021051004,0,18,none
2021-05-11T13:10:36Z,timing,readOD_end,1,4,2021051004,0,18,none
2021-05-11T13:05:47Z,timing,readOD_start,1,4,2021051004,0,18,none
2021-05-11T13:05:45Z,timing,incubation_end,1,4,2021051004,0,17,none
2021-05-11T13:05:20Z,timing,readAgar_end,1,4,2021050804,0,18,none
2021-05-11T13:01:11Z,timing,readAgar_start,1,4,2021050804,0,18,none
2021-05-11T13:00:21Z,timing,replication_end,1,3,$AssayPlate.ID$,0,18,none
2021-05-11T12:54:06Z,timing,replication_start,1,3,2021051003,0,18,none
2021-05-11T12:53:39Z,timing,readOD_end,1,3,2021051003,0,18,none
2021-05-11T12:48:50Z,timing,readOD_start,1,3,2021051003,0,18,none
2021-05-11T12:48:48Z,timing,incubation_end,1,3,2021051003,0,17,none
2021-05-11T12:48:23Z,timing,readAgar_end,1,3,2021050803,0,18,none
2021-05-11T12:44:22Z,timing,readAgar_start,1,3,2021050803,0,18,none
2021-05-11T12:43:32Z,timing,replication_end,1,2,$AssayPlate.ID$,0,18,none
2021-05-11T12:37:19Z,timing,replication_start,1,2,2021051002,0,18,none
2021-05-11T12:36:53Z,timing,readOD_end,1,2,2021051002,0,18,none
2021-05-11T12:31:57Z,timing,readOD_start,1,2,2021051002,0,18,none
2021-05-11T12:31:55Z,timing,incubation_end,1,2,2021051002,0,17,none
2021-05-11T12:31:30Z,timing,readAgar_end,1,2,2021050802,0,18,none
2021-05-11T12:27:08Z,timing,readAgar_start,1,2,2021050802,0,18,none
2021-05-11T12:25:37Z,timing,replication_end,1,1,$AssayPlate.ID$,0,18,none
2021-05-11T12:15:10Z,timing,replication_start,1,1,2021051001,0,18,none
2021-05-11T12:03:53Z,timing,replication_start,1,1,2021051001,0,18,none
2021-05-11T11:53:58Z,timing,readOD_end,1,1,2021051001,0,18,none
2021-05-11T11:49:08Z,timing,readOD_start,1,1,2021051001,0,18,none
2021-05-11T11:49:06Z,timing,incubation_end,1,1,2021051001,0,17,none
2021-05-11T11:48:41Z,timing,readAgar_end,1,1,2021050801,0,18,none
2021-05-11T11:44:31Z,timing,readAgar_start,1,1,2021050801,0,18,none
2021-05-11T02:57:55Z,timing,transfer18_end,1,0,none,0,18,none
2021-05-11T02:57:16Z,timing,replication_end,1,6,$AssayPlate.ID$,0,18,none
2021-05-11T02:51:02Z,timing,replication_start,1,6,2021050806,0,18,none
2021-05-11T02:50:31Z,timing,incubation_start,1,6,2021051006,0,18,none
2021-05-11T02:50:00Z,timing,readODbefore_end,1,6,2021051006,0,18,none
2021-05-11T02:45:13Z,timing,readODbefore_start,1,6,2021051006,0,18,none
2021-05-11T02:44:09Z,worklist,transfer_end,1,6,2021051006,0,18,plate_transfer.gwl
2021-05-11T02:41:55Z,worklist,transfer_start,1,6,2021051006,0,18,plate_transfer.gwl
2021-05-11T02:38:43Z,worklist,infection_end,1,6,2021051006,0,18,plate_infection.gwl
2021-05-11T01:13:30Z,worklist,infection_start,1,6,2021051006,0,18,plate_infection.gwl
2021-05-11T01:12:49Z,timing,readOD_end,1,6,2021050806,0,18,none
2021-05-11T01:07:59Z,timing,readOD_start,1,6,2021050806,0,18,none
2021-05-11T01:07:57Z,timing,incubation_end,1,6,2021050806,0,17,none
2021-05-11T01:07:00Z,worklist,turnover_end,1,6,2021051006,0,18,plate_turnover1.gwl
2021-05-11T00:54:38Z,worklist,turnover_start,1,6,2021051006,0,18,plate_turnover.gwl
2021-05-11T00:49:43Z,timing,readAgar_end,1,6,2021050706,0,18,none
2021-05-11T00:45:49Z,timing,readAgar_start,1,6,2021050706,0,18,none
2021-05-11T00:45:02Z,timing,replication_end,1,5,$AssayPlate.ID$,0,18,none
2021-05-11T00:38:47Z,timing,replication_start,1,5,2021050805,0,18,none
2021-05-11T00:38:16Z,timing,incubation_start,1,5,2021051005,0,18,none
2021-05-11T00:37:47Z,timing,readODbefore_end,1,5,2021051005,0,18,none
2021-05-11T00:33:00Z,timing,readODbefore_start,1,5,2021051005,0,18,none
2021-05-11T00:31:56Z,worklist,transfer_end,1,5,2021051005,0,18,plate_transfer.gwl
2021-05-11T00:29:42Z,worklist,transfer_start,1,5,2021051005,0,18,plate_transfer.gwl
2021-05-11T00:26:30Z,worklist,infection_end,1,5,2021051005,0,18,plate_infection.gwl
2021-05-10T23:01:15Z,worklist,infection_start,1,5,2021051005,0,18,plate_infection.gwl
2021-05-10T23:00:33Z,timing,readOD_end,1,5,2021050805,0,18,none
2021-05-10T22:55:44Z,timing,readOD_start,1,5,2021050805,0,18,none
2021-05-10T22:55:43Z,timing,incubation_end,1,5,2021050805,0,17,none
2021-05-10T22:54:46Z,worklist,turnover_end,1,5,2021051005,0,18,plate_turnover1.gwl
2021-05-10T22:42:26Z,worklist,turnover_start,1,5,2021051005,0,18,plate_turnover.gwl
2021-05-10T22:37:30Z,timing,readAgar_end,1,5,2021050705,0,18,none
2021-05-10T22:33:33Z,timing,readAgar_start,1,5,2021050705,0,18,none
2021-05-10T22:32:45Z,timing,replication_end,1,4,$AssayPlate.ID$,0,18,none
2021-05-10T22:26:33Z,timing,replication_start,1,4,2021050804,0,18,none
2021-05-10T22:26:02Z,timing,incubation_start,1,4,2021051004,0,18,none
2021-05-10T22:25:36Z,timing,readODbefore_end,1,4,2021051004,0,18,none
2021-05-10T22:20:49Z,timing,readODbefore_start,1,4,2021051004,0,18,none
2021-05-10T22:19:46Z,worklist,transfer_end,1,4,2021051004,0,18,plate_transfer.gwl
