,transfer_n,plate,antibiotic,exp,strain_x,strain_x_hat,mean,weight,mw
0,0,1,none,20220127,U,U,1.0,55,55.0
1,0,1,none,20220127,U,S,0.0,55,0.0
2,0,1,none,20220127,U,A_r,0.0,55,0.0
3,0,1,none,20220127,U,B_r,0.0,55,0.0
4,0,1,none,20220127,U,A&B,0.0,55,0.0
5,0,1,none,20220127,U,AB_r,0.0,55,0.0
6,0,2,none,20220127,U,U,1.0,55,55.0
7,0,2,none,20220127,U,S,0.0,55,0.0
8,0,2,none,20220127,U,A_r,0.0,55,0.0
9,0,2,none,20220127,U,B_r,0.0,55,0.0
10,0,2,none,20220127,U,A&B,0.0,55,0.0
11,0,2,none,20220127,U,AB_r,0.0,55,0.0
12,0,3,none,20220127,U,U,1.0,55,55.0
13,0,3,none,20220127,U,S,0.0,55,0.0
14,0,3,none,20220127,U,A_r,0.0,55,0.0
15,0,3,none,20220127,U,B_r,0.0,55,0.0
16,0,3,none,20220127,U,A&B,0.0,55,0.0
17,0,3,none,20220127,U,AB_r,0.0,55,0.0
18,0,4,none,20220127,U,U,1.0,55,55.0
19,0,4,none,20220127,U,S,0.0,55,0.0
20,0,4,none,20220127,U,A_r,0.0,55,0.0
21,0,4,none,20220127,U,B_r,0.0,55,0.0
22,0,4,none,20220127,U,A&B,0.0,55,0.0
23,0,4,none,20220127,U,AB_r,0.0,55,0.0
24,0,5,none,20220127,U,U,1.0,55,55.0
25,0,5,none,20220127,U,S,0.0,55,0.0
26,0,5,none,20220127,U,A_r,0.0,55,0.0
27,0,5,none,20220127,U,B_r,0.0,55,0.0
28,0,5,none,20220127,U,A&B,0.0,55,0.0
29,0,5,none,20220127,U,AB_r,0.0,55,0.0
30,0,6,none,20220127,U,U,1.0,55,55.0
31,0,6,none,20220127,U,S,0.0,55,0.0
32,0,6,none,20220127,U,A_r,0.0,55,0.0
33,0,6,none,20220127,U,B_r,0.0,55,0.0
34,0,6,none,20220127,U,A&B,0.0,55,0.0
35,0,6,none,20220127,U,AB_r,0.0,55,0.0
36,2,1,none,20220127,U,U,0.9545454545454546,44,42.0
37,2,1,none,20220127,U,S,0.022727272727272728,44,1.0
38,2,1,none,20220127,U,A_r,0.0,44,0.0
39,2,1,none,20220127,U,B_r,0.0,44,0.0
40,2,1,none,20220127,U,A&B,0.0,44,0.0
41,2,1,none,20220127,U,AB_r,0.022727272727272728,44,1.0
42,3,1,none,20220127,U,U,0.90625,32,29.0
43,3,1,none,20220127,U,S,0.0625,32,2.0
44,3,1,none,20220127,U,A_r,0.0,32,0.0
45,3,1,none,20220127,U,B_r,0.03125,32,1.0
46,3,1,none,20220127,U,A&B,0.0,32,0.0
47,3,1,none,20220127,U,AB_r,0.0,32,0.0
48,6,1,none,20220127,U,U,1.0,10,10.0
49,6,1,none,20220127,U,S,0.0,10,0.0
50,6,1,none,20220127,U,A_r,0.0,10,0.0
51,6,1,none,20220127,U,B_r,0.0,10,0.0
52,6,1,none,20220127,U,A&B,0.0,10,0.0
53,6,1,none,20220127,U,AB_r,0.0,10,0.0
54,7,1,none,20220127,U,U,1.0,6,6.0
55,7,1,none,20220127,U,S,0.0,6,0.0
56,7,1,none,20220127,U,A_r,0.0,6,0.0
57,7,1,none,20220127,U,B_r,0.0,6,0.0
58,7,1,none,20220127,U,A&B,0.0,6,0.0
59,7,1,none,20220127,U,AB_r,0.0,6,0.0
60,8,1,none,20220127,U,U,1.0,9,9.0
61,8,1,none,20220127,U,S,0.0,9,0.0
62,8,1,none,20220127,U,A_r,0.0,9,0.0
63,8,1,none,20220127,U,B_r,0.0,9,0.0
64,8,1,none,20220127,U,A&B,0.0,9,0.0
65,8,1,none,20220127,U,AB_r,0.0,9,0.0
66,9,1,none,20220127,U,U,1.0,14,14.0
67,9,1,none,20220127,U,S,0.0,14,0.0
68,9,1,none,20220127,U,A_r,0.0,14,0.0
69,9,1,none,20220127,U,B_r,0.0,14,0.0
70,9,1,none,20220127,U,A&B,0.0,14,0.0
71,9,1,none,20220127,U,AB_r,0.0,14,0.0
72,10,1,none,20220127,U,U,0.8823529411764706,17,15.0
73,10,1,none,20220127,U,S,0.11764705882352941,17,2.0
74,10,1,none,20220127,U,A_r,0.0,17,0.0
75,10,1,none,20220127,U,B_r,0.0,17,0.0
76,10,1,none,20220127,U,A&B,0.0,17,0.0
77,10,1,none,20220127,U,AB_r,0.0,17,0.0
78,13,1,none,20220127,U,U,0.8571428571428571,7,6.0
79,13,1,none,20220127,U,S,0.14285714285714285,7,1.0
80,13,1,none,20220127,U,A_r,0.0,7,0.0
81,13,1,none,20220127,U,B_r,0.0,7,0.0
82,13,1,none,20220127,U,A&B,0.0,7,0.0
83,13,1,none,20220127,U,AB_r,0.0,7,0.0
84,14,1,none,20220127,U,U,0.9375,16,15.0
85,14,1,none,20220127,U,S,0.0625,16,1.0
86,14,1,none,20220127,U,A_r,0.0,16,0.0
87,14,1,none,20220127,U,B_r,0.0,16,0.0
88,14,1,none,20220127,U,A&B,0.0,16,0.0
89,14,1,none,20220127,U,AB_r,0.0,16,0.0
90,15,1,none,20220127,U,U,1.0,10,10.0
91,15,1,none,20220127,U,S,0.0,10,0.0
92,15,1,none,20220127,U,A_r,0.0,10,0.0
93,15,1,none,20220127,U,B_r,0.0,10,0.0
94,15,1,none,20220127,U,A&B,0.0,10,0.0
95,15,1,none,20220127,U,AB_r,0.0,10,0.0
96,16,1,none,20220127,U,U,1.0,8,8.0
97,16,1,none,20220127,U,S,0.0,8,0.0
98,16,1,none,20220127,U,A_r,0.0,8,0.0
99,16,1,none,20220127,U,B_r,0.0,8,0.0
100,16,1,none,20220127,U,A&B,0.0,8,0.0
101,16,1,none,20220127,U,AB_r,0.0,8,0.0
102,17,1,none,20220127,U,U,0.9615384615384616,26,25.0
103,17,1,none,20220127,U,S,0.0,26,0.0
104,17,1,none,20220127,U,A_r,0.038461538461538464,26,1.0
105,17,1,none,20220127,U,B_r,0.0,26,0.0
106,17,1,none,20220127,U,A&B,0.0,26,0.0
107,17,1,none,20220127,U,AB_r,0.0,26,0.0
108,18,1,none,20220127,U,U,0.9375,16,15.0
109,18,1,none,20220127,U,S,0.0625,16,1.0
110,18,1,none,20220127,U,A_r,0.0,16,0.0
111,18,1,none,20220127,U,B_r,0.0,16,0.0
112,18,1,none,20220127,U,A&B,0.0,16,0.0
113,18,1,none,20220127,U,AB_r,0.0,16,0.0
114,19,1,none,20220127,U,U,1.0,17,17.0
115,19,1,none,20220127,U,S,0.0,17,0.0
116,19,1,none,20220127,U,A_r,0.0,17,0.0
