,antibiotic,x,x_hat,weighted_mean
97,A,A&B,UI,0.038461538461538464
101,A,A&B,S,0.0
105,A,A&B,A_r,0.23076923076923078
109,A,A&B,B_r,0.01282051282051282
113,A,A&B,A&B,0.01282051282051282
117,A,A&B,AB_r,0.7051282051282052
121,A,AB_r,UI,0.014365152919369786
125,A,AB_r,S,0.0
129,A,AB_r,A_r,0.0074142724745134385
133,A,AB_r,B_r,0.0
137,A,AB_r,A&B,0.013438368860055607
141,A,AB_r,AB_r,0.9647822057460612
49,A,A_r,UI,0.029140538546661748
53,A,A_r,S,0.0
57,A,A_r,A_r,0.9649575802286979
61,A,A_r,B_r,0.0
65,A,A_r,A&B,0.0007377351530800443
69,A,A_r,AB_r,0.005164146071560309
73,A,B_r,UI,0.9814126394052045
77,A,B_r,S,0.011152416356877323
81,A,B_r,A_r,0.0
85,A,B_r,B_r,0.0037174721189591076
89,A,B_r,A&B,0.0
93,A,B_r,AB_r,0.0037174721189591076
25,A,S,UI,0.966779008184882
29,A,S,S,0.018777082330284064
33,A,S,A_r,0.01059220028887819
37,A,S,B_r,0.0
41,A,S,A&B,0.0
45,A,S,AB_r,0.0038517091959557053
1,A,UI,UI,0.9872284204345273
5,A,UI,S,0.0011743981209630064
9,A,UI,A_r,0.007633587786259542
13,A,UI,B_r,0.0
17,A,UI,A&B,0.0001467997651203758
21,A,UI,AB_r,0.003816793893129771
99,AB,A&B,UI,0.5555555555555556
103,AB,A&B,S,0.0
107,AB,A&B,A_r,0.0
111,AB,A&B,B_r,0.0
115,AB,A&B,A&B,0.0
119,AB,A&B,AB_r,0.4444444444444444
123,AB,AB_r,UI,0.020075282308657464
127,AB,AB_r,S,0.000836470096194061
131,AB,AB_r,A_r,0.0
135,AB,AB_r,B_r,0.0
139,AB,AB_r,A&B,0.0012547051442910915
143,AB,AB_r,AB_r,0.9778335424508574
51,AB,A_r,UI,0.5909090909090909
55,AB,A_r,S,0.06818181818181818
59,AB,A_r,A_r,0.32386363636363635
63,AB,A_r,B_r,0.002840909090909091
67,AB,A_r,A&B,0.0
71,AB,A_r,AB_r,0.014204545454545454
75,AB,B_r,UI,0.990521327014218
79,AB,B_r,S,0.004739336492890996
83,AB,B_r,A_r,0.0
87,AB,B_r,B_r,0.0
91,AB,B_r,A&B,0.0
95,AB,B_r,AB_r,0.004739336492890996
27,AB,S,UI,0.8588039867109635
31,AB,S,S,0.13205980066445183
35,AB,S,A_r,0.0008305647840531562
39,AB,S,B_r,0.0
43,AB,S,A&B,0.0
47,AB,S,AB_r,0.008305647840531562
3,AB,UI,UI,0.9928686450425581
7,AB,UI,S,0.00023004370830457787
11,AB,UI,A_r,0.0
15,AB,UI,B_r,0.00046008741660915573
19,AB,UI,A&B,0.00023004370830457787
23,AB,UI,AB_r,0.006211180124223602
98,B,A&B,UI,0.09433962264150944
102,B,A&B,S,0.0
106,B,A&B,A_r,0.0
110,B,A&B,B_r,0.3018867924528302
114,B,A&B,A&B,0.05660377358490566
118,B,A&B,AB_r,0.5471698113207547
122,B,AB_r,UI,0.017191423604404094
126,B,AB_r,S,0.002124782692679158
130,B,AB_r,A_r,0.00019316206297083252
134,B,AB_r,B_r,0.0046358895112999805
138,B,AB_r,A&B,0.004056403322387483
142,B,AB_r,AB_r,0.9717983388062584
50,B,A_r,UI,0.5062814070351759
54,B,A_r,S,0.08040201005025126
58,B,A_r,A_r,0.39949748743718594
62,B,A_r,B_r,0.001256281407035176
66,B,A_r,A&B,0.002512562814070352
70,B,A_r,AB_r,0.010050251256281407
74,B,B_r,UI,0.02387914230019493
78,B,B_r,S,0.003898635477582846
82,B,B_r,A_r,0.0
86,B,B_r,B_r,0.9595516569200779
90,B,B_r,A&B,0.0029239766081871343
94,B,B_r,AB_r,0.009746588693957114
26,B,S,UI,0.7291666666666666
30,B,S,S,0.2573784722222222
34,B,S,A_r,0.0
38,B,S,B_r,0.009982638888888888
42,B,S,A&B,0.0
46,B,S,AB_r,0.003472222222222222
2,B,UI,UI,0.9861469072164949
6,B,UI,S,0.0016108247422680412
10,B,UI,A_r,0.00016108247422680412
14,B,UI,B_r,0.0067654639175257734
18,B,UI,A&B,0.0001610824742268041
22,B,UI,AB_r,0.005154639175257732
96,none,A&B,UI,0.003787878787878788
100,none,A&B,S,0.030303030303030304
104,none,A&B,A_r,0.09090909090909091
108,none,A&B,B_r,0.03409090909090909
112,none,A&B,A&B,0.125
116,none,A&B,AB_r,0.7159090909090909
120,none,AB_r,UI,0.0031124944419742106
124,none,AB_r,S,0.007114273010226767
128,none,AB_r,A_r,0.029346376167185415
132,none,AB_r,B_r,0.0026678523788350376
136,none,AB_r,A&B,0.052912405513561585
140,none,AB_r,AB_r,0.904846598488217
48,none,A_r,UI,0.0023059185242121443
52,none,A_r,S,0.01921598770176787
56,none,A_r,A_r,0.9239046887009992
60,none,A_r,B_r,0.0
64,none,A_r,A&B,0.014604150653343582
68,none,A_r,AB_r,0.03996925441967717
72,none,B_r,UI,0.0009074410163339383
76,none,B_r,S,0.03539019963702359
80,none,B_r,A_r,0.0
84,none,B_r,B_r,0.9582577132486388
88,none,B_r,A&B,0.003629764065335753
92,none,B_r,AB_r,0.0018148820326678765
24,none,S,UI,0.0045152722443559095
28,none,S,S,0.9824701195219123
32,none,S,A_r,0.005577689243027889
36,none,S,B_r,0.0058432934926958835
40,none,S,A&B,0.0010624169986719787
44,none,S,AB_r,0.0005312084993359894
0,none,UI,UI,0.985691573926868
4,none,UI,S,0.009538950715421303
8,none,UI,A_r,0.001589825119236884
12,none,UI,B_r,0.001589825119236884
16,none,UI,A&B,0.0
20,none,UI,AB_r,0.001589825119236884
