,transfer_n,replicate,strategy,phenotype,fraction,contaminated,exclude,infected_by_strains,infected_by_wells,infection_to_well,infection_to_well_id,pheno_num,pheno_str,plate,received_transfer_strain,rep,count,rwell,tip,transfer_from_well_id,transfer_to_well,transfer_to_well_id,treatment_with,turnover_id,turnover_strain,turnover_strain_real,well
0,0,0.0,Combo,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
1,0,0.0,Cycling,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
2,0,0.0,Mixing,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
3,0,0.0,Mono A,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
4,0,0.0,Mono B,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
5,0,0.0,No treatment,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
6,0,1.0,Combo,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
7,0,1.0,Cycling,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
8,0,1.0,Mixing,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
9,0,1.0,Mono A,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
10,0,1.0,Mono B,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
11,0,1.0,No treatment,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
12,0,2.0,Combo,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
13,0,2.0,Cycling,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
14,0,2.0,Mixing,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
15,0,2.0,Mono A,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
16,0,2.0,Mono B,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
17,0,2.0,No treatment,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
18,0,3.0,Combo,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
19,0,3.0,Cycling,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
20,0,3.0,Mixing,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
21,0,3.0,Mono A,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
22,0,3.0,Mono B,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
23,0,3.0,No treatment,?,100.0,96,96,0,0,0,36,96,96,96,0,96,96,96,96,0,0,73,96,96,96,96,96
24,1,0.0,Combo,AB_r,8.333333333333332,8,8,2,2,4,1,8,8,8,5,8,8,8,8,5,5,3,8,3,3,3,8
25,1,0.0,Combo,A_r,13.541666666666666,13,13,6,6,6,5,13,13,13,10,13,13,13,13,10,10,7,13,3,3,3,13
26,1,0.0,Combo,B_r,4.166666666666666,4,4,1,1,2,2,4,4,4,4,4,4,4,4,4,4,3,4,0,0,0,4
27,1,0.0,Combo,Fishy,1.0416666666666665,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
28,1,0.0,Combo,UI,61.458333333333336,59,59,15,15,20,21,59,59,59,42,59,59,59,59,42,42,47,59,17,17,17,59
29,1,0.0,Combo,WT,11.458333333333332,11,11,6,6,3,1,11,11,11,11,11,11,11,11,11,11,10,11,0,0,0,11
30,1,0.0,Cycling,Fishy,1.0416666666666665,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
31,1,0.0,Cycling,UI,98.95833333333334,95,95,29,29,36,31,95,95,95,73,95,95,95,95,73,73,69,95,22,22,22,95
32,1,0.0,Mixing,AB_r,8.333333333333332,8,8,2,2,4,1,8,8,8,5,8,8,8,8,5,5,3,8,3,3,3,8
33,1,0.0,Mixing,A_r,11.458333333333332,11,11,5,5,5,4,11,11,11,9,11,11,11,11,9,9,6,11,2,2,2,11
34,1,0.0,Mixing,B_r,6.25,6,6,2,2,3,3,6,6,6,5,6,6,6,6,5,5,5,6,1,1,1,6
35,1,0.0,Mixing,UI,53.125,51,51,15,15,19,17,51,51,51,35,51,51,51,51,35,35,40,51,16,16,16,51
36,1,0.0,Mixing,WT,20.833333333333336,20,20,6,6,5,6,20,20,20,19,20,20,20,20,19,19,16,20,1,1,1,20
37,1,0.0,Mono A,AB_r,8.333333333333332,8,8,2,2,4,1,8,8,8,5,8,8,8,8,5,5,3,8,3,3,3,8
38,1,0.0,Mono A,A_r,13.541666666666666,13,13,6,6,6,5,13,13,13,10,13,13,13,13,10,10,7,13,3,3,3,13
39,1,0.0,Mono A,Fishy,2.083333333333333,2,2,0,0,0,0,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,2
40,1,0.0,Mono A,UI,75.0,72,72,22,22,25,24,72,72,72,57,72,72,72,72,57,57,58,72,15,15,15,72
41,1,0.0,Mono A,WT,1.0416666666666665,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
42,1,0.0,Mono B,AB_r,9.375,9,9,3,3,4,2,9,9,9,6,9,9,9,9,6,6,3,9,3,3,3,9
43,1,0.0,Mono B,A_r,11.458333333333332,11,11,5,5,5,4,11,11,11,8,11,11,11,11,8,8,7,11,3,3,3,11
44,1,0.0,Mono B,B_r,15.625,15,15,5,5,7,5,15,15,15,13,15,15,15,15,13,13,12,15,2,2,2,15
45,1,0.0,Mono B,Fishy,1.0416666666666665,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
46,1,0.0,Mono B,UI,28.125,27,27,5,5,12,9,27,27,27,15,27,27,27,27,15,15,21,27,12,12,12,27
47,1,0.0,Mono B,WT,34.375,33,33,12,12,7,11,33,33,33,30,33,33,33,33,30,30,27,33,3,3,3,33
48,1,0.0,No treatment,AB_r,9.375,9,9,3,3,4,2,9,9,9,6,9,9,9,9,6,6,3,9,3,3,3,9
49,1,0.0,No treatment,A_r,12.5,12,12,5,5,6,4,12,12,12,9,12,12,12,12,9,9,7,12,3,3,3,12
50,1,0.0,No treatment,B_r,17.708333333333336,17,17,7,7,7,7,17,17,17,14,17,17,17,17,14,14,14,17,3,3,3,17
51,1,0.0,No treatment,UI,13.541666666666666,13,13,0,0,6,6,13,13,13,10,13,13,13,13,10,10,9,13,3,3,3,13
52,1,0.0,No treatment,WT,46.875,45,45,15,15,13,12,45,45,45,34,45,45,45,45,34,34,37,45,11,11,11,45
53,1,1.0,Combo,AB_r,8.333333333333332,8,8,2,2,4,1,8,8,8,5,8,8,8,8,5,5,3,8,3,3,3,8
54,1,1.0,Combo,A_r,8.333333333333332,8,8,4,4,3,3,8,8,8,6,8,8,8,8,6,6,3,8,2,2,2,8
