x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
22,130,109,6,20,0.3238394050243986,1,51,54,85,166,101,85,0
24,222,12,0,0,0.0,0,109,117,98,60,41,117,0
34,1022,35,3,9,0.4111091948918364,1,106,105,102,31,9,106,0
67,1085,480,14,44,0.3278716510139405,1,131,128,111,36,38,131,0
70,127,667,17,52,0.3295053475799135,1,136,144,122,57,38,144,0
99,1108,110,10,20,0.48568173354410704,1,104,107,96,54,26,107,0
106,101,137,8,26,0.3050173119797691,1,102,110,94,63,37,110,0
121,1102,12,0,0,0.0,1,104,103,100,31,9,104,0
142,1103,9,0,0,0.0,1,109,114,111,102,11,114,0
149,859,1405,37,45,0.8272673151057844,0,123,127,100,48,54,127,110
152,294,1959,47,50,0.9389675933028335,0,133,141,117,56,43,141,133
153,352,1070,34,37,0.9283131035840407,0,131,140,111,55,52,140,132
153,409,1439,41,42,0.9697105581073732,0,134,143,116,56,48,143,131
170,110,45,4,12,0.38285816480813234,1,135,146,139,100,19,146,0
190,111,12,0,0,0.0,1,138,149,141,96,18,149,0
194,111,9,0,0,0.0,1,137,148,145,115,18,148,0
207,923,1632,44,45,0.9795435668679913,0,130,134,107,48,51,134,111
209,467,1148,36,37,0.972642205123056,0,137,146,119,56,47,146,119
209,860,1383,40,41,0.9669286560298505,0,133,137,112,49,46,137,109
211,110,24,0,0,0.0,1,136,147,144,115,19,147,0
212,410,1349,39,41,0.9634983546074395,0,138,147,120,56,46,147,118
214,293,1823,46,48,0.9777917023330055,0,133,139,113,52,47,139,134
216,353,1654,42,47,0.9112112425510647,0,133,142,115,56,48,142,135
225,110,24,0,0,0.0,1,136,147,139,96,19,147,0
262,695,1141,36,37,0.9821282472513112,0,134,144,110,54,60,144,101
263,466,1039,34,37,0.9187550951654756,0,141,152,122,58,50,152,120
263,805,1402,41,41,0.9958333892472178,0,136,142,114,51,50,142,136
264,524,1907,47,49,0.9462368509737267,0,137,147,113,54,58,147,130
264,863,1138,35,39,0.8788601643576083,0,139,144,119,51,44,144,108
266,925,1483,40,44,0.9009868759485237,0,130,134,107,48,51,134,112
268,407,1117,36,37,0.9626071591288013,0,141,151,124,58,45,151,117
268,637,1534,42,44,0.9468281161672085,0,139,149,115,55,58,149,100
269,110,15,0,0,0.0,1,140,148,141,90,13,148,0
277,310,26,3,8,0.4573416233773116,0,148,159,142,69,27,159,0
281,110,12,0,0,0.0,1,137,151,140,94,23,151,0
291,110,30,5,7,0.7071067980787146,1,137,149,137,85,20,149,0
320,750,1259,38,40,0.9579916535376618,0,143,150,117,51,56,150,103
320,805,631,25,29,0.8956822581742738,0,142,148,122,52,44,148,104
321,466,1164,36,38,0.9516825675099476,0,145,156,122,56,55,156,129
321,696,1318,38,41,0.9479839022085865,0,143,153,119,54,56,153,102
323,404,691,28,29,0.9622475496324113,0,145,155,128,58,44,155,116
323,634,1142,36,38,0.9567187319254564,0,143,153,118,54,58,153,99
323,862,1813,45,48,0.9337159632607764,0,138,145,112,51,58,145,107
