x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
22,132,57,4,15,0.3171717310373508,1,79,78,109,171,72,109,0
24,1012,89,3,27,0.13838135217863753,1,126,132,108,53,46,132,0
25,955,394,5,94,0.05525769188642432,1,128,132,115,52,32,132,0
26,1031,384,14,36,0.3847586328444404,1,89,91,88,70,8,91,0
61,1072,61,4,16,0.27230894056589616,1,129,136,124,67,22,136,0
64,1085,30,3,8,0.4521772177692396,1,134,138,124,54,25,138,0
65,129,9,0,0,0.0,1,148,154,152,113,9,154,0
68,1090,15,0,0,0.0,1,132,138,128,67,18,138,0
73,1083,12,0,0,0.0,1,130,134,120,54,26,134,0
77,129,181,4,51,0.0849122706077307,1,143,150,148,115,11,150,0
81,1091,50,4,14,0.29314506735564494,1,132,134,116,47,34,134,0
105,1105,221,11,28,0.4192504040429953,1,81,87,90,141,25,90,0
110,1001,9,0,0,0.0,0,134,141,134,85,12,141,0
121,1101,9,0,0,0.0,1,108,112,113,135,11,113,0
142,114,9,0,0,0.0,1,138,151,141,94,21,151,0
153,858,1408,39,43,0.9213358303422964,0,132,137,115,52,40,137,220
155,916,1843,46,48,0.9674489729463828,0,131,135,112,49,43,135,219
157,297,1890,45,51,0.8817540700278378,0,138,147,128,62,32,147,174
157,634,1014,32,38,0.8319301597633929,0,138,148,123,59,43,148,150
158,699,1305,35,45,0.7737918702277815,0,137,145,122,57,40,145,151
212,694,1242,37,40,0.9387792766619387,0,141,149,125,56,41,149,152
213,636,1036,35,36,0.9641007232846582,0,141,149,125,56,41,149,149
213,861,1558,42,45,0.9388499713041424,0,137,142,120,52,39,142,184
214,920,1129,35,39,0.8919078901743276,0,134,139,119,53,36,139,218
215,357,1653,44,46,0.9546013917057402,0,140,149,128,60,35,149,136
217,298,1308,40,41,0.9684185308320256,0,142,151,132,62,32,151,173
268,410,1129,36,37,0.9682838639286194,0,146,156,132,60,39,156,175
268,470,1783,46,47,0.9747451575143449,0,143,153,128,59,41,153,179
268,859,876,31,34,0.8952924004503499,0,138,146,122,56,41,146,183
269,693,1217,38,38,0.9849073420394601,0,142,153,123,58,49,153,180
269,975,1344,40,41,0.970349886298508,0,136,141,121,53,36,141,216
270,295,903,30,36,0.8302259733694733,0,144,156,136,68,32,156,172
271,919,889,31,34,0.9332818396351324,0,138,145,121,54,42,145,215
272,353,711,29,30,0.9859813504792981,0,149,161,141,67,31,161,135
274,629,1398,40,43,0.9351529516234248,0,144,154,127,58,44,154,148
318,799,27,5,6,0.8697190855579614,0,127,139,127,85,22,139,0
322,1033,2136,50,52,0.9684438500301118,0,132,137,115,52,40,137,217
324,692,1173,34,42,0.8101513584923501,0,145,155,128,58,44,155,181
325,468,978,33,35,0.9539312453651984,0,147,160,132,62,44,160,178
325,918,1140,37,37,0.9954354658968012,0,139,144,122,52,38,144,128
326,296,1180,36,39,0.9243662620541288,0,145,154,133,60,34,154,171
326,634,1212,36,41,0.8802215266278035,0,145,156,126,58,49,156,147
326,861,1472,41,43,0.9615400309697499,0,140,145,122,51,40,145,182
326,974,798,30,36,0.8441865547469081,0,143,150,132,59,30,150,127
327,355,704,29,29,0.9745345628539465,0,148,158,134,60,38,158,134
327,411,985,33,36,0.9254372488512379,0,147,160,134,63,41,160,176
379,747,1415,41,42,0.9562304155270932,0,144,155,125,58,49,155,86
