x,y,size,min-diam,max-diam,circularity,min-distance,red,green,blue,hue,saturation,value,selected
10,940,711,4,194,0.02496127802842176,1,121,123,135,163,26,135,0
23,130,108,5,21,0.27014666572372054,1,62,48,73,193,87,73,0
92,363,9,0,0,0.0,0,150,163,153,94,20,163,0
101,122,9,0,0,0.0,1,139,157,132,73,40,157,0
104,1108,224,9,27,0.3665467633975713,1,99,104,87,54,41,104,0
164,1020,2677,51,65,0.7895019367543091,0,120,121,90,43,65,121,92
168,185,40,6,6,0.8917355268664938,0,151,163,151,85,18,163,0
170,800,1401,36,50,0.714202547239766,0,141,146,118,50,48,146,55
171,743,1269,35,46,0.7617363606342771,0,128,134,106,51,53,134,56
216,963,18,0,0,0.0,1,140,145,123,52,38,145,0
225,749,119,11,12,0.9415449209877322,0,142,153,123,58,49,153,0
225,1063,9,0,0,0.0,1,126,130,104,49,50,130,0
226,800,911,28,38,0.748503940602028,0,124,128,101,48,53,128,54
227,181,270,17,19,0.8842271934889963,0,147,156,136,61,32,156,0
228,963,67,7,10,0.7087849310445254,1,135,140,118,52,40,140,0
237,1028,3490,60,73,0.8222157802284674,1,124,125,94,43,63,125,0
250,384,21,2,8,0.3034088652473453,0,152,166,149,77,26,166,0
271,626,1975,45,53,0.8597666418782961,0,137,145,108,51,65,145,69
272,693,2476,52,58,0.9029738276963837,0,134,142,105,51,66,142,68
274,911,2833,54,65,0.8390573116206629,0,130,134,101,47,62,134,53
278,180,1881,44,53,0.8313109092697416,0,135,141,113,51,50,141,91
279,297,1864,45,50,0.909130137110183,0,138,144,116,51,49,144,72
281,240,1366,39,44,0.8813649863135248,0,140,146,118,51,48,146,90
338,295,1074,34,37,0.9232445216093204,0,147,156,125,54,50,156,46
338,357,2437,52,57,0.9123556255720074,0,140,147,113,51,58,147,71
343,238,1359,36,45,0.8025107738272297,0,144,154,120,54,56,154,47
345,177,2278,52,53,0.9817865970314601,0,137,144,110,51,60,144,48
345,621,3184,56,73,0.7764416927069651,0,140,148,109,51,67,148,70
345,698,2720,51,65,0.7943665945092092,0,140,148,109,51,67,148,67
348,915,4223,63,84,0.7503656113849372,0,133,137,102,47,65,137,52
394,293,1726,40,52,0.7687020793730072,0,147,157,122,54,56,157,45
430,1113,9,0,0,0.0,1,140,150,140,85,16,150,0
432,1107,51,0,0,0.0,1,138,148,138,85,17,148,0
446,1121,9,0,0,0.0,1,143,153,158,141,24,158,0
447,691,820,30,32,0.931155567514207,0,134,142,104,51,68,142,66
447,1115,163,7,31,0.23917153446041944,1,142,152,146,101,16,152,0
451,631,1183,34,41,0.8344498301070464,0,134,145,105,54,70,145,65
451,1107,18,0,0,0.0,1,138,149,139,88,18,149,0
453,359,2743,54,63,0.860652791492713,0,144,155,115,54,65,155,43
457,289,2306,50,57,0.8753651056477688,0,141,151,116,54,59,151,44
480,1117,692,36,56,0.6422785743900666,1,129,138,136,118,16,138,0
509,465,3044,54,70,0.7745444847443472,0,148,161,118,55,68,161,42
556,636,150,12,13,0.9287896784052476,0,158,174,135,59,57,174,0
576,398,3367,62,68,0.9101003491127873,0,149,162,118,55,69,162,41
587,555,18,0,0,0.0,0,160,182,144,67,53,182,0
607,694,2675,55,61,0.9118569228690399,0,145,157,111,53,74,157,11
608,918,2287,51,55,0.9334312859129804,0,135,143,106,51,65,143,15
609,848,2665,52,63,0.8396607972051431,0,140,148,107,50,70,148,14
612,619,2497,48,65,0.7429713676675886,0,147,159,111,53,76,159,10
617,972,743,28,31,0.9080531842782646,0,132,138,110,51,51,138,16
617,1028,1046,34,38,0.8917482936798806,0,117,123,97,52,53,123,51
633,1115,16,0,0,0.0,1,146,155,150,103,14,155,0
644,190,9,0,0,0.0,1,169,184,163,72,29,184,0
650,188,12,0,0,0.0,1,170,185,164,72,28,185,0
656,1135,9,0,0,0.0,1,141,156,175,151,49,175,0
677,1026,899,32,34,0.9504711935095936,0,119,125,99,52,53,125,50
679,696,2617,54,60,0.9070861161537594,0,146,158,112,53,74,158,12
679,977,363,20,22,0.9318903491726452,0,129,138,109,55,53,138,0
683,622,2541,51,62,0.8213338651983767,0,148,160,112,53,76,160,9
683,847,2394,52,57,0.8987941496446601,0,139,147,106,50,71,147,13
684,922,3073,58,67,0.8588035625160239,0,138,146,109,51,64,146,49
794,1137,1349,5,371,0.013913215914585029,1,135,148,172,155,54,172,0
832,573,3501,58,77,0.7544806428414874,0,150,164,111,53,82,164,1
842,457,1624,42,46,0.9152817324789874,0,155,171,124,56,70,171,4
894,483,15,0,0,0.0,1,159,179,125,58,76,179,0
895,400,2279,48,58,0.8365963917268031,0,153,168,117,54,77,168,5
898,459,641,25,30,0.8483293954597378,0,158,172,121,54,75,172,3
900,510,2885,52,68,0.7683884682711466,1,152,167,112,54,83,167,0
902,576,1753,44,49,0.8884402303057484,0,152,167,112,54,83,167,2
939,178,2711,46,74,0.6178774091926481,0,148,154,116,49,62,154,0
942,247,2662,52,65,0.8017402143207759,0,153,164,124,54,62,164,6
946,689,1683,37,57,0.6448368634942063,0,146,159,113,54,73,159,17
947,751,2023,47,52,0.9189701087707662,0,142,155,111,55,72,155,18
948,629,1831,43,56,0.7623057823721491,1,151,165,116,54,75,165,0
949,1109,48,8,14,0.6100981346396068,1,136,151,141,99,25,151,0
956,604,9,0,0,0.0,1,160,176,127,56,70,176,0
956,1025,5099,78,81,0.957695738208893,0,127,133,105,51,53,133,0
959,597,9,0,0,0.0,1,159,179,133,60,65,179,0
1005,862,2281,51,55,0.9382127509204139,0,138,149,109,54,68,149,21
1010,801,1891,40,58,0.6960301613295714,0,143,154,114,54,66,154,20
1013,630,2047,46,57,0.8089356180586958,0,149,163,114,54,76,163,25
1014,244,2428,48,62,0.7633465619388766,0,148,156,117,51,63,156,7
1016,173,1973,44,54,0.8215470946341207,0,144,150,112,49,64,150,8
1017,744,1535,38,48,0.7890794251163505,0,145,158,115,55,69,158,19
1019,450,12,0,0,0.0,0,158,180,144,68,51,180,0
1019,690,1523,34,55,0.6110344947984445,1,145,158,115,55,69,158,0
1051,688,12,0,0,0.0,1,156,174,134,61,58,174,0
1058,505,3456,59,74,0.7981076308516668,0,147,160,114,54,73,160,33
1063,346,942,32,35,0.938948085914447,0,151,163,124,55,61,163,57
1064,577,1489,40,47,0.8572717212937468,0,148,161,115,54,72,161,26
1066,283,220,15,16,0.9431006313509944,0,155,168,133,58,53,168,0
1066,858,1724,36,57,0.6409977414961019,0,138,148,111,53,63,148,22
1069,1115,2626,32,201,0.16160796761073673,1,140,151,148,115,18,151,0
1119,235,2042,47,53,0.8775339279572162,0,147,154,120,51,56,154,73
1122,295,34,6,6,0.8944271725708172,0,160,175,152,70,33,175,0
1123,583,1932,40,61,0.6642745482495461,0,144,157,113,55,71,157,27
1125,510,1556,36,53,0.6857892923977231,0,144,157,114,55,69,157,34
1126,924,3392,58,72,0.805580139106714,0,133,140,107,51,60,140,24
1131,849,2343,50,57,0.8738165058591534,0,136,144,107,51,65,144,23
1172,352,2286,48,57,0.8452379610812896,0,144,155,115,54,65,155,58
1175,177,1774,45,48,0.935602359518967,0,141,147,113,49,58,147,89
1177,581,1418,38,46,0.8290151523021642,0,144,157,114,55,69,157,28
1178,242,1238,36,41,0.8818198232289304,0,144,151,118,51,55,151,74
1179,514,1282,35,44,0.8087947172829687,0,146,159,116,55,68,159,35
1233,178,1438,39,44,0.8772984893676208,0,139,144,114,49,53,144,76
1233,242,1623,42,47,0.9089721976665033,0,142,149,116,51,56,149,75
1233,512,1523,39,48,0.8140127879593019,0,144,156,118,55,62,156,36
1236,349,2250,49,56,0.864423706991182,0,142,152,115,53,62,152,59
1239,583,2518,54,57,0.9565651652452025,0,143,155,117,55,62,155,29
1266,714,9,0,0,0.0,1,148,158,133,59,40,158,0
1280,691,2344,50,57,0.8784180080589464,1,135,146,112,56,59,146,0
1284,296,410,21,23,0.937621332585169,0,143,153,121,55,53,153,0
1286,178,1505,39,47,0.8356192258510041,0,140,146,118,51,48,146,77
1287,631,712,24,35,0.7052786087907721,0,144,155,125,58,49,155,30
1289,514,1654,37,54,0.6916170184007083,0,140,150,115,54,59,150,37
1292,859,760,23,40,0.5731981679601046,0,127,136,109,56,50,136,0
1292,907,1069,33,39,0.8613607207472761,0,118,124,98,52,53,124,83
1292,1031,2360,44,68,0.6480117982375999,0,126,132,106,52,50,132,85
1294,967,1383,35,50,0.7061938338027143,0,120,125,102,51,46,125,84
1297,357,675,27,29,0.9163704026623326,0,141,152,119,56,55,152,60
1342,180,1404,38,44,0.8797821674256663,0,137,143,115,51,49,143,78
1343,359,72,8,9,0.9558890114572888,0,147,161,132,63,45,161,0
1344,242,1420,40,42,0.971070710847315,0,138,146,118,54,48,146,88
1345,288,136,12,13,0.9391247352966491,0,146,154,132,57,36,154,0
1345,692,791,29,33,0.8705151901185965,0,136,146,119,58,47,146,81
1346,856,246,16,17,0.9597257858185319,0,127,137,114,60,42,137,0
1347,1024,618,24,29,0.8342282784010672,0,110,112,91,46,47,112,86
1348,579,2432,53,56,0.9358621159265006,0,133,143,109,54,60,143,31
1349,625,124,11,12,0.9153114269326521,0,143,155,127,60,46,155,0
1350,516,1864,46,49,0.9259580783257281,0,134,144,110,54,60,144,32
1395,355,1852,46,48,0.9634219142100726,0,132,141,112,55,52,141,61
1396,802,2730,56,61,0.9219139322833428,0,129,136,105,52,58,136,82
1398,181,1563,40,48,0.8338689033017891,0,134,139,116,51,42,139,79
1400,291,1196,37,38,0.9541816793043312,0,134,143,116,56,48,143,62
1408,522,682,27,29,0.9510346597909695,0,122,135,107,62,52,135,38
1457,293,1360,37,44,0.8390823300122736,0,136,142,114,51,50,142,63
1459,239,1679,42,49,0.8536980830454725,0,131,137,109,51,52,137,64
1459,560,1306,38,41,0.9473856094336627,0,118,127,101,57,52,127,40
1463,176,2043,49,51,0.9732089495494386,0,130,134,109,49,47,134,80
1466,517,557,25,26,0.9661283097744966,0,132,140,115,56,45,140,39
1467,739,2942,56,73,0.7774039564873342,1,128,134,108,52,49,134,0
1468,352,2179,50,53,0.9397355797459302,0,129,138,111,56,49,138,87
1476,779,35,4,19,0.20664438387891634,1,137,145,122,57,40,145,0
1497,748,9,0,0,0.0,1,134,143,124,62,33,143,0
1538,914,207,6,49,0.12356398502347359,1,135,133,118,37,32,135,0
1546,883,9,0,0,0.0,1,133,136,119,49,31,136,0
1547,878,9,0,0,0.0,1,135,136,125,46,20,136,0
1553,1114,33,4,8,0.4950680042380716,0,106,105,106,212,2,106,0
1561,915,24,0,0,0.0,1,119,136,130,112,31,136,0
1569,763,24,0,0,0.0,0,135,142,126,61,28,142,0
1569,802,15,0,0,0.0,0,135,141,127,60,25,141,0
1569,813,9,0,0,0.0,0,134,141,126,62,27,141,0
1569,841,9,0,0,0.0,0,132,140,125,65,27,140,0
1570,704,9,0,0,0.0,0,135,143,125,61,32,143,0
1571,173,60,0,0,0.0,0,138,143,125,54,32,143,0
1571,195,24,0,0,0.0,1,137,142,122,53,35,142,0
1571,209,39,0,0,0.0,1,137,142,124,54,32,142,0
1571,235,24,0,0,0.0,0,137,144,123,56,37,144,0
1571,266,33,0,0,0.0,1,136,143,122,56,37,143,0
1571,281,36,0,0,0.0,1,135,142,118,54,43,142,0
1571,307,69,0,0,0.0,1,135,143,119,56,42,143,0
1571,323,35,0,0,0.0,1,135,143,120,57,41,143,0
1571,337,39,2,16,0.17751809566537904,1,135,142,120,56,39,142,0
1571,362,15,0,0,0.0,0,135,143,117,55,46,143,0
1571,414,56,3,23,0.14066686007851356,0,135,143,120,57,41,143,0
1571,475,24,0,0,0.0,0,135,142,119,55,41,142,0
1571,587,24,0,0,0.0,0,136,143,124,58,33,143,0
1572,377,9,0,0,0.0,1,134,142,120,57,39,142,0
1572,386,33,0,0,0.0,1,135,143,122,58,37,143,0
1572,451,24,0,0,0.0,0,135,144,121,59,40,144,0
1576,1099,113,7,22,0.32633414498848223,1,125,133,120,68,24,133,0
