,transfer_n,plate,antibiotic,exp,strain_x,strain_x_hat,mean,weight,mw
0,1,1,none,20220412,S,U,0.0,2,0.0
1,1,1,none,20220412,S,S,0.0,2,0.0
2,1,1,none,20220412,S,A_r,1.0,2,2.0
3,1,1,none,20220412,S,B_r,0.0,2,0.0
4,1,1,none,20220412,S,A&B,0.0,2,0.0
5,1,1,none,20220412,S,AB_r,0.0,2,0.0
6,1,2,A,20220412,S,U,0.0,2,0.0
7,1,2,A,20220412,S,S,0.0,2,0.0
8,1,2,A,20220412,S,A_r,1.0,2,2.0
9,1,2,A,20220412,S,B_r,0.0,2,0.0
10,1,2,A,20220412,S,A&B,0.0,2,0.0
11,1,2,A,20220412,S,AB_r,0.0,2,0.0
12,1,5,A,20220412,S,U,0.0,2,0.0
13,1,5,A,20220412,S,S,0.0,2,0.0
14,1,5,A,20220412,S,A_r,1.0,2,2.0
15,1,5,A,20220412,S,B_r,0.0,2,0.0
16,1,5,A,20220412,S,A&B,0.0,2,0.0
17,1,5,A,20220412,S,AB_r,0.0,2,0.0
18,1,6,A,20220412,S,U,0.0,2,0.0
19,1,6,A,20220412,S,S,0.0,2,0.0
20,1,6,A,20220412,S,A_r,1.0,2,2.0
21,1,6,A,20220412,S,B_r,0.0,2,0.0
22,1,6,A,20220412,S,A&B,0.0,2,0.0
23,1,6,A,20220412,S,AB_r,0.0,2,0.0
24,1,3,B,20220412,S,U,0.0,1,0.0
25,1,3,B,20220412,S,S,0.0,1,0.0
26,1,3,B,20220412,S,A_r,1.0,1,1.0
27,1,3,B,20220412,S,B_r,0.0,1,0.0
28,1,3,B,20220412,S,A&B,0.0,1,0.0
29,1,3,B,20220412,S,AB_r,0.0,1,0.0
30,1,4,AB,20220412,S,U,0.0,2,0.0
31,1,4,AB,20220412,S,S,0.0,2,0.0
32,1,4,AB,20220412,S,A_r,1.0,2,2.0
33,1,4,AB,20220412,S,B_r,0.0,2,0.0
34,1,4,AB,20220412,S,A&B,0.0,2,0.0
35,1,4,AB,20220412,S,AB_r,0.0,2,0.0
36,1,1,none,20220412,A_r,U,0.0,185,0.0
37,1,1,none,20220412,A_r,S,0.0,185,0.0
38,1,1,none,20220412,A_r,A_r,1.0,185,185.0
39,1,1,none,20220412,A_r,B_r,0.0,185,0.0
40,1,1,none,20220412,A_r,A&B,0.0,185,0.0
41,1,1,none,20220412,A_r,AB_r,0.0,185,0.0
42,1,2,A,20220412,A_r,U,0.005376344086021506,186,1.0
43,1,2,A,20220412,A_r,S,0.0,186,0.0
44,1,2,A,20220412,A_r,A_r,0.9946236559139785,186,185.0
45,1,2,A,20220412,A_r,B_r,0.0,186,0.0
46,1,2,A,20220412,A_r,A&B,0.0,186,0.0
47,1,2,A,20220412,A_r,AB_r,0.0,186,0.0
48,1,5,A,20220412,A_r,U,0.005376344086021506,186,1.0
49,1,5,A,20220412,A_r,S,0.0,186,0.0
50,1,5,A,20220412,A_r,A_r,0.9946236559139785,186,185.0
51,1,5,A,20220412,A_r,B_r,0.0,186,0.0
52,1,5,A,20220412,A_r,A&B,0.0,186,0.0
53,1,5,A,20220412,A_r,AB_r,0.0,186,0.0
54,1,6,A,20220412,A_r,U,0.0,98,0.0
55,1,6,A,20220412,A_r,S,0.0,98,0.0
56,1,6,A,20220412,A_r,A_r,1.0,98,98.0
57,1,6,A,20220412,A_r,B_r,0.0,98,0.0
58,1,6,A,20220412,A_r,A&B,0.0,98,0.0
59,1,6,A,20220412,A_r,AB_r,0.0,98,0.0
60,1,3,B,20220412,A_r,U,0.5434782608695652,138,75.0
61,1,3,B,20220412,A_r,S,0.17391304347826086,138,24.0
62,1,3,B,20220412,A_r,A_r,0.2826086956521739,138,39.0
63,1,3,B,20220412,A_r,B_r,0.0,138,0.0
64,1,3,B,20220412,A_r,A&B,0.0,138,0.0
65,1,3,B,20220412,A_r,AB_r,0.0,138,0.0
66,1,6,B,20220412,A_r,U,0.9285714285714286,84,78.0
67,1,6,B,20220412,A_r,S,0.05952380952380952,84,5.0
68,1,6,B,20220412,A_r,A_r,0.011904761904761904,84,1.0
69,1,6,B,20220412,A_r,B_r,0.0,84,0.0
70,1,6,B,20220412,A_r,A&B,0.0,84,0.0
