,antibiotic,x,x_hat,weighted_mean
97,A,A&B,U,0.25
101,A,A&B,S,0.0
105,A,A&B,A_r,0.5
109,A,A&B,B_r,0.0
113,A,A&B,A&B,0.12
117,A,A&B,AB_r,0.13
121,A,AB_r,U,?
125,A,AB_r,S,?
129,A,AB_r,A_r,?
133,A,AB_r,B_r,?
137,A,AB_r,A&B,?
141,A,AB_r,AB_r,?
49,A,A_r,U,0.00425531914893617
53,A,A_r,S,0.0
57,A,A_r,A_r,0.9957446808510638
61,A,A_r,B_r,0.0
65,A,A_r,A&B,0.0
69,A,A_r,AB_r,0.0
73,A,B_r,U,0.9892183288409704
77,A,B_r,S,0.01078167115902965
81,A,B_r,A_r,0.0
85,A,B_r,B_r,0.0
89,A,B_r,A&B,0.0
93,A,B_r,AB_r,0.0
25,A,S,U,0.0
29,A,S,S,0.0
33,A,S,A_r,1.0
37,A,S,B_r,0.0
41,A,S,A&B,0.0
45,A,S,AB_r,0.0
1,A,U,U,?
5,A,U,S,?
9,A,U,A_r,?
13,A,U,B_r,?
17,A,U,A&B,?
21,A,U,AB_r,?
99,AB,A&B,U,0.2631578947368421
103,AB,A&B,S,0.23684210526315788
107,AB,A&B,A_r,0.3684210526315789
111,AB,A&B,B_r,0.02631578947368421
115,AB,A&B,A&B,0.05263157894736842
119,AB,A&B,AB_r,0.05263157894736842
123,AB,AB_r,U,?
127,AB,AB_r,S,?
131,AB,AB_r,A_r,?
135,AB,AB_r,B_r,?
139,AB,AB_r,A&B,?
143,AB,AB_r,AB_r,?
51,AB,A_r,U,0.4140127388535032
55,AB,A_r,S,0.16560509554140126
59,AB,A_r,A_r,0.42038216560509556
63,AB,A_r,B_r,0.0
67,AB,A_r,A&B,0.0
71,AB,A_r,AB_r,0.0
75,AB,B_r,U,0.7430555555555556
79,AB,B_r,S,0.2013888888888889
83,AB,B_r,A_r,0.0
87,AB,B_r,B_r,0.05555555555555555
91,AB,B_r,A&B,0.0
95,AB,B_r,AB_r,0.0
27,AB,S,U,0.0
31,AB,S,S,0.0
35,AB,S,A_r,1.0
39,AB,S,B_r,0.0
43,AB,S,A&B,0.0
47,AB,S,AB_r,0.0
3,AB,U,U,?
7,AB,U,S,?
11,AB,U,A_r,?
15,AB,U,B_r,?
19,AB,U,A&B,?
23,AB,U,AB_r,?
98,B,A&B,U,0.015384615384615385
102,B,A&B,S,0.0
106,B,A&B,A_r,0.0
110,B,A&B,B_r,0.3230769230769231
114,B,A&B,A&B,0.09230769230769231
118,B,A&B,AB_r,0.5692307692307692
122,B,AB_r,U,?
126,B,AB_r,S,?
130,B,AB_r,A_r,?
134,B,AB_r,B_r,?
138,B,AB_r,A&B,?
142,B,AB_r,AB_r,?
50,B,A_r,U,0.6891891891891891
54,B,A_r,S,0.13063063063063063
58,B,A_r,A_r,0.18018018018018017
62,B,A_r,B_r,0.0
66,B,A_r,A&B,0.0
70,B,A_r,AB_r,0.0
74,B,B_r,U,0.004807692307692308
78,B,B_r,S,0.0
82,B,B_r,A_r,0.0
86,B,B_r,B_r,0.9951923076923077
90,B,B_r,A&B,0.0
94,B,B_r,AB_r,0.0
26,B,S,U,0.0
30,B,S,S,0.0
34,B,S,A_r,1.0
38,B,S,B_r,0.0
42,B,S,A&B,0.0
46,B,S,AB_r,0.0
2,B,U,U,?
6,B,U,S,?
10,B,U,A_r,?
14,B,U,B_r,?
18,B,U,A&B,?
22,B,U,AB_r,?
96,none,A&B,U,0.0
100,none,A&B,S,0.0
104,none,A&B,A_r,0.0
108,none,A&B,B_r,0.18604651162790697
112,none,A&B,A&B,0.0
116,none,A&B,AB_r,0.813953488372093
120,none,AB_r,U,?
124,none,AB_r,S,?
128,none,AB_r,A_r,?
132,none,AB_r,B_r,?
136,none,AB_r,A&B,?
140,none,AB_r,AB_r,?
48,none,A_r,U,0.0
52,none,A_r,S,0.0
56,none,A_r,A_r,1.0
60,none,A_r,B_r,0.0
64,none,A_r,A&B,0.0
68,none,A_r,AB_r,0.0
72,none,B_r,U,0.0
76,none,B_r,S,0.0
80,none,B_r,A_r,0.0
84,none,B_r,B_r,1.0
88,none,B_r,A&B,0.0
92,none,B_r,AB_r,0.0
24,none,S,U,0.0
28,none,S,S,0.0
32,none,S,A_r,1.0
36,none,S,B_r,0.0
40,none,S,A&B,0.0
44,none,S,AB_r,0.0
0,none,U,U,?
4,none,U,S,?
8,none,U,A_r,?
12,none,U,B_r,?
16,none,U,A&B,?
20,none,U,AB_r,?
