transfer,run,desc,plate_n,barcode,ab
0,1,assay,1,2022041201,N
0,1,agar,1,2022041207,N
0,1,agar,1,2022041213,A
0,1,agar,1,2022041219,B
0,1,agar,1,2022041225,AB
1,1,on,1,2022041231,N
0,1,test,1,2022041232,N
0,1,test,1,2022041233,A
0,1,test,1,2022041234,B
0,1,test,1,2022041235,AB
1,1,assay,1,2022041301,N
1,1,assay,2,2022041302,N
1,1,assay,3,2022041303,N
1,1,assay,4,2022041304,N
1,1,assay,5,2022041305,N
1,1,assay,6,2022041306,N
1,1,agar,1,2022041307,N
1,1,agar,2,2022041308,N
1,1,agar,3,2022041309,N
1,1,agar,4,2022041310,N
1,1,agar,5,2022041311,N
1,1,agar,6,2022041312,N
1,1,agar,1,2022041313,A
1,1,agar,2,2022041314,A
1,1,agar,3,2022041315,A
1,1,agar,4,2022041316,A
1,1,agar,5,2022041317,A
1,1,agar,6,2022041318,A
1,1,agar,1,2022041319,B
1,1,agar,2,2022041320,B
1,1,agar,3,2022041321,B
1,1,agar,4,2022041322,B
1,1,agar,5,2022041323,B
1,1,agar,6,2022041324,B
1,1,agar,1,2022041325,AB
1,1,agar,2,2022041326,AB
1,1,agar,3,2022041327,AB
1,1,agar,4,2022041328,AB
1,1,agar,5,2022041329,AB
1,1,agar,6,2022041330,AB
2,1,on,1,2022041331,N
1,1,test,1,2022041332,N
1,1,test,1,2022041333,A
1,1,test,1,2022041334,B
1,1,test,1,2022041335,AB
2,1,assay,1,2022041401,N
2,1,assay,2,2022041402,N
2,1,assay,3,2022041403,N
2,1,assay,4,2022041404,N
2,1,assay,5,2022041405,N
2,1,assay,6,2022041406,N
2,1,agar,1,2022041407,N
2,1,agar,2,2022041408,N
2,1,agar,3,2022041409,N
2,1,agar,4,2022041410,N
2,1,agar,5,2022041411,N
2,1,agar,6,2022041412,N
2,1,agar,1,2022041413,A
2,1,agar,2,2022041414,A
2,1,agar,3,2022041415,A
2,1,agar,4,2022041416,A
2,1,agar,5,2022041417,A
2,1,agar,6,2022041418,A
2,1,agar,1,2022041419,B
2,1,agar,2,2022041420,B
2,1,agar,3,2022041421,B
2,1,agar,4,2022041422,B
2,1,agar,5,2022041423,B
2,1,agar,6,2022041424,B
2,1,agar,1,2022041425,AB
2,1,agar,2,2022041426,AB
2,1,agar,3,2022041427,AB
2,1,agar,4,2022041428,AB
2,1,agar,5,2022041429,AB
2,1,agar,6,2022041430,AB
3,1,on,1,2022041431,N
2,1,test,1,2022041432,N
2,1,test,1,2022041433,A
2,1,test,1,2022041434,B
2,1,test,1,2022041435,AB
3,1,assay,1,2022041601,N
3,1,assay,2,2022041602,N
3,1,assay,3,2022041603,N
3,1,assay,4,2022041604,N
3,1,assay,5,2022041605,N
3,1,assay,6,2022041606,N
3,1,agar,1,2022041607,N
3,1,agar,2,2022041608,N
3,1,agar,3,2022041609,N
3,1,agar,4,2022041610,N
3,1,agar,5,2022041611,N
3,1,agar,6,2022041612,N
3,1,agar,1,2022041613,A
3,1,agar,2,2022041614,A
3,1,agar,3,2022041615,A
3,1,agar,4,2022041616,A
3,1,agar,5,2022041617,A
3,1,agar,6,2022041618,A
3,1,agar,1,2022041619,B
3,1,agar,2,2022041620,B
3,1,agar,3,2022041621,B
3,1,agar,4,2022041622,B
3,1,agar,5,2022041623,B
3,1,agar,6,2022041624,B
3,1,agar,1,2022041625,AB
3,1,agar,2,2022041626,AB
3,1,agar,3,2022041627,AB
3,1,agar,4,2022041628,AB
3,1,agar,5,2022041629,AB
3,1,agar,6,2022041630,AB
4,1,on,1,2022041631,N
3,1,test,1,2022041632,N
3,1,test,1,2022041633,A
3,1,test,1,2022041634,B
3,1,test,1,2022041635,AB
4,1,assay,1,2022041701,N
4,1,assay,2,2022041702,N
4,1,assay,3,2022041703,N
4,1,assay,4,2022041704,N
4,1,assay,5,2022041705,N
4,1,assay,6,2022041706,N
4,1,agar,1,2022041707,N
4,1,agar,2,2022041708,N
4,1,agar,3,2022041709,N
4,1,agar,4,2022041710,N
4,1,agar,5,2022041711,N
4,1,agar,6,2022041712,N
4,1,agar,1,2022041713,A
4,1,agar,2,2022041714,A
4,1,agar,3,2022041715,A
4,1,agar,4,2022041716,A
4,1,agar,5,2022041717,A
4,1,agar,6,2022041718,A
4,1,agar,1,2022041719,B
4,1,agar,2,2022041720,B
4,1,agar,3,2022041721,B
4,1,agar,4,2022041722,B
4,1,agar,5,2022041723,B
4,1,agar,6,2022041724,B
4,1,agar,1,2022041725,AB
4,1,agar,2,2022041726,AB
4,1,agar,3,2022041727,AB
4,1,agar,4,2022041728,AB
4,1,agar,5,2022041729,AB
4,1,agar,6,2022041730,AB
5,1,on,1,2022041731,N
4,1,test,1,2022041732,N
4,1,test,1,2022041733,A
4,1,test,1,2022041734,B
4,1,test,1,2022041735,AB
5,1,assay,1,2022041801,N
5,1,assay,2,2022041802,N
5,1,assay,3,2022041803,N
5,1,assay,4,2022041804,N
5,1,assay,5,2022041805,N
5,1,assay,6,2022041806,N
5,1,agar,1,2022041807,N
5,1,agar,2,2022041808,N
5,1,agar,3,2022041809,N
5,1,agar,4,2022041810,N
5,1,agar,5,2022041811,N
5,1,agar,6,2022041812,N
5,1,agar,1,2022041813,A
5,1,agar,2,2022041814,A
5,1,agar,3,2022041815,A
5,1,agar,4,2022041816,A
5,1,agar,5,2022041817,A
5,1,agar,6,2022041818,A
5,1,agar,1,2022041819,B
5,1,agar,2,2022041820,B
5,1,agar,3,2022041821,B
5,1,agar,4,2022041822,B
5,1,agar,5,2022041823,B
5,1,agar,6,2022041824,B
5,1,agar,1,2022041825,AB
5,1,agar,2,2022041826,AB
5,1,agar,3,2022041827,AB
5,1,agar,4,2022041828,AB
5,1,agar,5,2022041829,AB
5,1,agar,6,2022041830,AB
6,1,on,1,2022041831,N
5,1,test,1,2022041832,N
5,1,test,1,2022041833,A
5,1,test,1,2022041834,B
5,1,test,1,2022041835,AB
6,1,assay,1,2022041901,N
6,1,assay,2,2022041902,N
6,1,assay,3,2022041903,N
6,1,assay,4,2022041904,N
6,1,assay,5,2022041905,N
6,1,assay,6,2022041906,N
6,1,agar,1,2022041907,N
6,1,agar,2,2022041908,N
6,1,agar,3,2022041909,N
6,1,agar,4,2022041910,N
6,1,agar,5,2022041911,N
6,1,agar,6,2022041912,N
6,1,agar,1,2022041913,A
6,1,agar,2,2022041914,A
6,1,agar,3,2022041915,A
6,1,agar,4,2022041916,A
6,1,agar,5,2022041917,A
6,1,agar,6,2022041918,A
6,1,agar,1,2022041919,B
6,1,agar,2,2022041920,B
6,1,agar,3,2022041921,B
6,1,agar,4,2022041922,B
6,1,agar,5,2022041923,B
6,1,agar,6,2022041924,B
6,1,agar,1,2022041925,AB
6,1,agar,2,2022041926,AB
6,1,agar,3,2022041927,AB
6,1,agar,4,2022041928,AB
6,1,agar,5,2022041929,AB
6,1,agar,6,2022041930,AB
7,1,on,1,2022041931,N
6,1,test,1,2022041932,N
6,1,test,1,2022041933,A
6,1,test,1,2022041934,B
6,1,test,1,2022041935,AB
7,1,assay,1,2022042001,N
7,1,assay,2,2022042002,N
7,1,assay,3,2022042003,N
7,1,assay,4,2022042004,N
7,1,assay,5,2022042005,N
7,1,assay,6,2022042006,N
7,1,agar,1,2022042007,N
7,1,agar,2,2022042008,N
7,1,agar,3,2022042009,N
7,1,agar,4,2022042010,N
7,1,agar,5,2022042011,N
7,1,agar,6,2022042012,N
7,1,agar,1,2022042013,A
7,1,agar,2,2022042014,A
7,1,agar,3,2022042015,A
7,1,agar,4,2022042016,A
7,1,agar,5,2022042017,A
7,1,agar,6,2022042018,A
7,1,agar,1,2022042019,B
7,1,agar,2,2022042020,B
7,1,agar,3,2022042021,B
7,1,agar,4,2022042022,B
7,1,agar,5,2022042023,B
7,1,agar,6,2022042024,B
7,1,agar,1,2022042025,AB
7,1,agar,2,2022042026,AB
7,1,agar,3,2022042027,AB
7,1,agar,4,2022042028,AB
7,1,agar,5,2022042029,AB
7,1,agar,6,2022042030,AB
8,1,on,1,2022042031,N
7,1,test,1,2022042032,N
7,1,test,1,2022042033,A
7,1,test,1,2022042034,B
7,1,test,1,2022042035,AB
8,1,assay,1,2022042101,N
8,1,assay,2,2022042102,N
8,1,assay,3,2022042103,N
8,1,assay,4,2022042104,N
8,1,assay,5,2022042105,N
8,1,assay,6,2022042106,N
8,1,agar,1,2022042107,N
