id,created,output_directory,exp_name,n_plates
15,2022-04-12T09:10:57Z,20220412_output,output,6
14,2022-01-27T13:02:19Z,20220127_output,output,6
13,2021-04-17T12:24:39Z,20210417_output,output,6
12,2021-04-16T09:05:33Z,20210416_output,output,6
11,2021-04-13T15:49:10Z,20210413_output,output,6
10,2021-04-12T13:51:57Z,20210412_output,output,6
9,2021-04-07T10:58:15Z,20210407_output,output,6
8,2021-03-24T13:13:47Z,20210324_output,output,6
7,2021-03-20T14:22:22Z,20210320_output,output,6
6,2021-03-17T14:57:37Z,20210317_output,output,6
5,2021-03-15T12:39:08Z,20210315_output,output,6
4,2021-02-25T14:18:36Z,20210225_output,output,6
3,2021-02-23T15:35:03Z,20210223_output,output,6
2,2021-02-12T12:02:00Z,20210212_output,output,6
1,2021-02-08T13:15:03Z,20210208_output,output,6
