well,row,col,tip,rep,rwell
1,A,1,1,1,1
2,A,2,1,2,1
3,A,3,1,1,2
4,A,4,1,2,2
5,A,5,1,1,3
6,A,6,1,2,3
7,A,7,1,1,4
8,A,8,1,2,4
9,A,9,1,1,5
10,A,10,1,2,5
11,A,11,1,1,6
12,A,12,1,2,6
13,A,13,1,1,7
14,A,14,1,2,7
15,A,15,1,1,8
16,A,16,1,2,8
17,A,17,1,1,9
18,A,18,1,2,9
19,A,19,1,1,10
20,A,20,1,2,10
21,A,21,1,1,11
22,A,22,1,2,11
23,A,23,1,1,12
24,A,24,1,2,12
25,B,1,1,4,1
26,B,2,1,3,1
27,B,3,1,4,2
28,B,4,1,3,2
29,B,5,1,4,3
30,B,6,1,3,3
31,B,7,1,4,4
32,B,8,1,3,4
33,B,9,1,4,5
34,B,10,1,3,5
35,B,11,1,4,6
36,B,12,1,3,6
37,B,13,1,4,7
38,B,14,1,3,7
39,B,15,1,4,8
40,B,16,1,3,8
41,B,17,1,4,9
42,B,18,1,3,9
43,B,19,1,4,10
44,B,20,1,3,10
45,B,21,1,4,11
46,B,22,1,3,11
47,B,23,1,4,12
48,B,24,1,3,12
49,C,1,2,1,13
50,C,2,2,2,13
51,C,3,2,1,14
52,C,4,2,2,14
53,C,5,2,1,15
54,C,6,2,2,15
55,C,7,2,1,16
56,C,8,2,2,16
57,C,9,2,1,17
58,C,10,2,2,17
59,C,11,2,1,18
60,C,12,2,2,18
61,C,13,2,1,19
62,C,14,2,2,19
63,C,15,2,1,20
64,C,16,2,2,20
65,C,17,2,1,21
66,C,18,2,2,21
67,C,19,2,1,22
68,C,20,2,2,22
69,C,21,2,1,23
70,C,22,2,2,23
71,C,23,2,1,24
72,C,24,2,2,24
73,D,1,2,4,13
74,D,2,2,3,13
75,D,3,2,4,14
76,D,4,2,3,14
77,D,5,2,4,15
78,D,6,2,3,15
79,D,7,2,4,16
80,D,8,2,3,16
81,D,9,2,4,17
82,D,10,2,3,17
83,D,11,2,4,18
84,D,12,2,3,18
85,D,13,2,4,19
86,D,14,2,3,19
87,D,15,2,4,20
88,D,16,2,3,20
89,D,17,2,4,21
90,D,18,2,3,21
91,D,19,2,4,22
92,D,20,2,3,22
93,D,21,2,4,23
94,D,22,2,3,23
95,D,23,2,4,24
96,D,24,2,3,24
97,E,1,3,1,25
98,E,2,3,2,25
99,E,3,3,1,26
100,E,4,3,2,26
101,E,5,3,1,27
102,E,6,3,2,27
103,E,7,3,1,28
104,E,8,3,2,28
105,E,9,3,1,29
106,E,10,3,2,29
107,E,11,3,1,30
108,E,12,3,2,30
109,E,13,3,1,31
110,E,14,3,2,31
111,E,15,3,1,32
112,E,16,3,2,32
113,E,17,3,1,33
114,E,18,3,2,33
115,E,19,3,1,34
116,E,20,3,2,34
117,E,21,3,1,35
118,E,22,3,2,35
119,E,23,3,1,36
120,E,24,3,2,36
121,F,1,3,4,25
122,F,2,3,3,25
123,F,3,3,4,26
124,F,4,3,3,26
125,F,5,3,4,27
126,F,6,3,3,27
127,F,7,3,4,28
128,F,8,3,3,28
129,F,9,3,4,29
130,F,10,3,3,29
131,F,11,3,4,30
132,F,12,3,3,30
133,F,13,3,4,31
134,F,14,3,3,31
135,F,15,3,4,32
136,F,16,3,3,32
137,F,17,3,4,33
138,F,18,3,3,33
139,F,19,3,4,34
140,F,20,3,3,34
141,F,21,3,4,35
142,F,22,3,3,35
143,F,23,3,4,36
144,F,24,3,3,36
145,G,1,4,1,37
146,G,2,4,2,37
147,G,3,4,1,38
148,G,4,4,2,38
149,G,5,4,1,39
150,G,6,4,2,39
151,G,7,4,1,40
152,G,8,4,2,40
153,G,9,4,1,41
154,G,10,4,2,41
155,G,11,4,1,42
156,G,12,4,2,42
157,G,13,4,1,43
158,G,14,4,2,43
159,G,15,4,1,44
160,G,16,4,2,44
161,G,17,4,1,45
162,G,18,4,2,45
163,G,19,4,1,46
164,G,20,4,2,46
165,G,21,4,1,47
166,G,22,4,2,47
167,G,23,4,1,48
168,G,24,4,2,48
169,H,1,4,4,37
170,H,2,4,3,37
171,H,3,4,4,38
172,H,4,4,3,38
173,H,5,4,4,39
174,H,6,4,3,39
175,H,7,4,4,40
176,H,8,4,3,40
177,H,9,4,4,41
178,H,10,4,3,41
179,H,11,4,4,42
180,H,12,4,3,42
181,H,13,4,4,43
182,H,14,4,3,43
183,H,15,4,4,44
184,H,16,4,3,44
185,H,17,4,4,45
186,H,18,4,3,45
187,H,19,4,4,46
188,H,20,4,3,46
189,H,21,4,4,47
190,H,22,4,3,47
191,H,23,4,4,48
192,H,24,4,3,48
193,I,1,5,1,49
194,I,2,5,2,49
195,I,3,5,1,50
196,I,4,5,2,50
197,I,5,5,1,51
198,I,6,5,2,51
199,I,7,5,1,52
200,I,8,5,2,52
201,I,9,5,1,53
202,I,10,5,2,53
203,I,11,5,1,54
204,I,12,5,2,54
205,I,13,5,1,55
206,I,14,5,2,55
207,I,15,5,1,56
208,I,16,5,2,56
209,I,17,5,1,57
210,I,18,5,2,57
211,I,19,5,1,58
212,I,20,5,2,58
213,I,21,5,1,59
214,I,22,5,2,59
215,I,23,5,1,60
216,I,24,5,2,60
217,J,1,5,4,49
218,J,2,5,3,49
219,J,3,5,4,50
220,J,4,5,3,50
221,J,5,5,4,51
222,J,6,5,3,51
223,J,7,5,4,52
