,transfer_n,plate,antibiotic,exp,strain_x,strain_x_hat,mean,weight,mw
0,1,1,none,20220127,U,U,0.9772727272727273,44,43.0
1,1,1,none,20220127,U,S,0.0,44,0.0
2,1,1,none,20220127,U,A_r,0.022727272727272728,44,1.0
3,1,1,none,20220127,U,B_r,0.0,44,0.0
4,1,1,none,20220127,U,A&B,0.0,44,0.0
5,1,1,none,20220127,U,AB_r,0.0,44,0.0
6,1,1,none,20210417,U,U,0.9444444444444444,36,34.0
7,1,1,none,20210417,U,S,0.05555555555555555,36,2.0
8,1,1,none,20210417,U,A_r,0.0,36,0.0
9,1,1,none,20210417,U,B_r,0.0,36,0.0
10,1,1,none,20210417,U,A&B,0.0,36,0.0
11,1,1,none,20210417,U,AB_r,0.0,36,0.0
12,1,2,A,20220127,U,U,0.9772727272727273,44,43.0
13,1,2,A,20220127,U,S,0.0,44,0.0
14,1,2,A,20220127,U,A_r,0.022727272727272728,44,1.0
15,1,2,A,20220127,U,B_r,0.0,44,0.0
16,1,2,A,20220127,U,A&B,0.0,44,0.0
17,1,2,A,20220127,U,AB_r,0.0,44,0.0
18,1,2,A,20210417,U,U,1.0,37,37.0
19,1,2,A,20210417,U,S,0.0,37,0.0
20,1,2,A,20210417,U,A_r,0.0,37,0.0
21,1,2,A,20210417,U,B_r,0.0,37,0.0
22,1,2,A,20210417,U,A&B,0.0,37,0.0
23,1,2,A,20210417,U,AB_r,0.0,37,0.0
24,1,5,A,20210417,U,U,1.0,36,36.0
25,1,5,A,20210417,U,S,0.0,36,0.0
26,1,5,A,20210417,U,A_r,0.0,36,0.0
27,1,5,A,20210417,U,B_r,0.0,36,0.0
28,1,5,A,20210417,U,A&B,0.0,36,0.0
29,1,5,A,20210417,U,AB_r,0.0,36,0.0
30,1,6,A,20220127,U,U,1.0,20,20.0
31,1,6,A,20220127,U,S,0.0,20,0.0
32,1,6,A,20220127,U,A_r,0.0,20,0.0
33,1,6,A,20220127,U,B_r,0.0,20,0.0
34,1,6,A,20220127,U,A&B,0.0,20,0.0
35,1,6,A,20220127,U,AB_r,0.0,20,0.0
36,1,6,A,20210417,U,U,1.0,15,15.0
37,1,6,A,20210417,U,S,0.0,15,0.0
38,1,6,A,20210417,U,A_r,0.0,15,0.0
39,1,6,A,20210417,U,B_r,0.0,15,0.0
40,1,6,A,20210417,U,A&B,0.0,15,0.0
41,1,6,A,20210417,U,AB_r,0.0,15,0.0
42,1,3,B,20220127,U,U,1.0,42,42.0
43,1,3,B,20220127,U,S,0.0,42,0.0
44,1,3,B,20220127,U,A_r,0.0,42,0.0
45,1,3,B,20220127,U,B_r,0.0,42,0.0
46,1,3,B,20220127,U,A&B,0.0,42,0.0
47,1,3,B,20220127,U,AB_r,0.0,42,0.0
48,1,3,B,20210417,U,U,1.0,36,36.0
49,1,3,B,20210417,U,S,0.0,36,0.0
50,1,3,B,20210417,U,A_r,0.0,36,0.0
51,1,3,B,20210417,U,B_r,0.0,36,0.0
52,1,3,B,20210417,U,A&B,0.0,36,0.0
53,1,3,B,20210417,U,AB_r,0.0,36,0.0
54,1,6,B,20220127,U,U,1.0,23,23.0
55,1,6,B,20220127,U,S,0.0,23,0.0
56,1,6,B,20220127,U,A_r,0.0,23,0.0
57,1,6,B,20220127,U,B_r,0.0,23,0.0
58,1,6,B,20220127,U,A&B,0.0,23,0.0
59,1,6,B,20220127,U,AB_r,0.0,23,0.0
60,1,6,B,20210417,U,U,1.0,20,20.0
61,1,6,B,20210417,U,S,0.0,20,0.0
62,1,6,B,20210417,U,A_r,0.0,20,0.0
63,1,6,B,20210417,U,B_r,0.0,20,0.0
64,1,6,B,20210417,U,A&B,0.0,20,0.0
65,1,6,B,20210417,U,AB_r,0.0,20,0.0
66,1,4,AB,20220127,U,U,1.0,44,44.0
67,1,4,AB,20220127,U,S,0.0,44,0.0
68,1,4,AB,20220127,U,A_r,0.0,44,0.0
69,1,4,AB,20220127,U,B_r,0.0,44,0.0
70,1,4,AB,20220127,U,A&B,0.0,44,0.0
71,1,4,AB,20220127,U,AB_r,0.0,44,0.0
72,1,4,AB,20210417,U,U,0.9444444444444444,36,34.0
73,1,4,AB,20210417,U,S,0.05555555555555555,36,2.0
74,1,4,AB,20210417,U,A_r,0.0,36,0.0
75,1,4,AB,20210417,U,B_r,0.0,36,0.0
76,1,4,AB,20210417,U,A&B,0.0,36,0.0
77,1,4,AB,20210417,U,AB_r,0.0,36,0.0
78,1,1,none,20220412,S,U,0.0,2,0.0
79,1,1,none,20220412,S,S,0.0,2,0.0
80,1,1,none,20220412,S,A_r,1.0,2,2.0
81,1,1,none,20220412,S,B_r,0.0,2,0.0
82,1,1,none,20220412,S,A&B,0.0,2,0.0
83,1,1,none,20220412,S,AB_r,0.0,2,0.0
84,1,1,none,20220127,S,U,0.005555555555555556,180,1.0
85,1,1,none,20220127,S,S,0.9888888888888889,180,178.0
86,1,1,none,20220127,S,A_r,0.0,180,0.0
87,1,1,none,20220127,S,B_r,0.005555555555555556,180,1.0
88,1,1,none,20220127,S,A&B,0.0,180,0.0
89,1,1,none,20220127,S,AB_r,0.0,180,0.0
90,1,1,none,20210417,S,U,0.0033333333333333335,300,1.0
91,1,1,none,20210417,S,S,0.99,300,297.0
92,1,1,none,20210417,S,A_r,0.006666666666666667,300,2.0
93,1,1,none,20210417,S,B_r,0.0,300,0.0
94,1,1,none,20210417,S,A&B,0.0,300,0.0
95,1,1,none,20210417,S,AB_r,0.0,300,0.0
96,1,2,A,20220412,S,U,0.0,2,0.0
97,1,2,A,20220412,S,S,0.0,2,0.0
98,1,2,A,20220412,S,A_r,1.0,2,2.0
99,1,2,A,20220412,S,B_r,0.0,2,0.0
100,1,2,A,20220412,S,A&B,0.0,2,0.0
