,antibiotic,x,x_hat,weighted_mean
97,A,A&B,UI,0.23148148148148148
101,A,A&B,S,0.0
105,A,A&B,A_r,0.5370370370370371
109,A,A&B,B_r,0.0
113,A,A&B,A&B,0.1111111111111111
117,A,A&B,AB_r,0.12037037037037036
121,A,AB_r,UI,0.0
125,A,AB_r,S,0.0
129,A,AB_r,A_r,0.0
133,A,AB_r,B_r,0.0
137,A,AB_r,A&B,0.0
141,A,AB_r,AB_r,1.0
49,A,A_r,UI,0.003367003367003367
53,A,A_r,S,0.0
57,A,A_r,A_r,0.9966329966329966
61,A,A_r,B_r,0.0
65,A,A_r,A&B,0.0
69,A,A_r,AB_r,0.0
73,A,B_r,UI,0.9864077669902913
77,A,B_r,S,0.013592233009708738
81,A,B_r,A_r,0.0
85,A,B_r,B_r,0.0
89,A,B_r,A&B,0.0
93,A,B_r,AB_r,0.0
25,A,S,UI,0.9707887049659202
29,A,S,S,0.016553067185978577
33,A,S,A_r,0.012658227848101266
37,A,S,B_r,0.0
41,A,S,A&B,0.0
45,A,S,AB_r,0.0
1,A,UI,UI,0.993421052631579
5,A,UI,S,0.0
9,A,UI,A_r,0.006578947368421052
13,A,UI,B_r,0.0
17,A,UI,A&B,0.0
21,A,UI,AB_r,0.0
99,AB,A&B,UI,0.23809523809523808
103,AB,A&B,S,0.21428571428571427
107,AB,A&B,A_r,0.40476190476190477
111,AB,A&B,B_r,0.023809523809523808
115,AB,A&B,A&B,0.07142857142857142
119,AB,A&B,AB_r,0.047619047619047616
123,AB,AB_r,UI,0.0
127,AB,AB_r,S,0.0
131,AB,AB_r,A_r,0.0
135,AB,AB_r,B_r,0.0
139,AB,AB_r,A&B,0.0
143,AB,AB_r,AB_r,1.0
51,AB,A_r,UI,0.3201754385964912
55,AB,A_r,S,0.20614035087719298
59,AB,A_r,A_r,0.47368421052631576
63,AB,A_r,B_r,0.0
67,AB,A_r,A&B,0.0
71,AB,A_r,AB_r,0.0
75,AB,B_r,UI,0.6681818181818182
79,AB,B_r,S,0.24545454545454545
83,AB,B_r,A_r,0.0
87,AB,B_r,B_r,0.08636363636363636
91,AB,B_r,A&B,0.0
95,AB,B_r,AB_r,0.0
27,AB,S,UI,0.7867494824016563
31,AB,S,S,0.20910973084886128
35,AB,S,A_r,0.004140786749482402
39,AB,S,B_r,0.0
43,AB,S,A&B,0.0
47,AB,S,AB_r,0.0
3,AB,UI,UI,0.975
7,AB,UI,S,0.025
11,AB,UI,A_r,0.0
15,AB,UI,B_r,0.0
19,AB,UI,A&B,0.0
23,AB,UI,AB_r,0.0
98,B,A&B,UI,0.014492753623188406
102,B,A&B,S,0.0
106,B,A&B,A_r,0.0
110,B,A&B,B_r,0.30434782608695654
114,B,A&B,A&B,0.10144927536231885
118,B,A&B,AB_r,0.5797101449275363
122,B,AB_r,UI,0.0
126,B,AB_r,S,0.0
130,B,AB_r,A_r,0.0
134,B,AB_r,B_r,0.0
138,B,AB_r,A&B,0.0
142,B,AB_r,AB_r,1.0
50,B,A_r,UI,0.5076452599388379
54,B,A_r,S,0.21406727828746178
58,B,A_r,A_r,0.27522935779816515
62,B,A_r,B_r,0.0
66,B,A_r,A&B,0.0030581039755351682
70,B,A_r,AB_r,0.0
74,B,B_r,UI,0.018292682926829267
78,B,B_r,S,0.006097560975609756
82,B,B_r,A_r,0.0
86,B,B_r,B_r,0.975609756097561
90,B,B_r,A&B,0.0
94,B,B_r,AB_r,0.0
26,B,S,UI,0.47711511789181693
30,B,S,S,0.5159500693481276
34,B,S,A_r,0.0027739251040221915
38,B,S,B_r,0.004160887656033287
42,B,S,A&B,0.0
46,B,S,AB_r,0.0
2,B,UI,UI,1.0
6,B,UI,S,0.0
10,B,UI,A_r,0.0
14,B,UI,B_r,0.0
18,B,UI,A&B,0.0
22,B,UI,AB_r,0.0
96,none,A&B,UI,0.0
100,none,A&B,S,0.0
104,none,A&B,A_r,0.0
108,none,A&B,B_r,0.1702127659574468
112,none,A&B,A&B,0.02127659574468085
116,none,A&B,AB_r,0.8085106382978723
120,none,AB_r,UI,0.0
124,none,AB_r,S,0.0
128,none,AB_r,A_r,0.0
132,none,AB_r,B_r,0.0
136,none,AB_r,A&B,0.0
140,none,AB_r,AB_r,1.0
48,none,A_r,UI,0.0
52,none,A_r,S,0.0
56,none,A_r,A_r,1.0
60,none,A_r,B_r,0.0
64,none,A_r,A&B,0.0
68,none,A_r,AB_r,0.0
72,none,B_r,UI,0.0
76,none,B_r,S,0.004366812227074236
80,none,B_r,A_r,0.0
84,none,B_r,B_r,0.9956331877729258
88,none,B_r,A&B,0.0
92,none,B_r,AB_r,0.0
24,none,S,UI,0.004149377593360996
28,none,S,S,0.9854771784232366
32,none,S,A_r,0.008298755186721992
36,none,S,B_r,0.002074688796680498
40,none,S,A&B,0.0
44,none,S,AB_r,0.0
0,none,UI,UI,0.9625
4,none,UI,S,0.025
8,none,UI,A_r,0.0125
12,none,UI,B_r,0.0
16,none,UI,A&B,0.0
20,none,UI,AB_r,0.0
