,antibiotic,x,x_hat,weighted_mean
97,A,A&B,UI,0.022429906542056073
101,A,A&B,S,0.0
105,A,A&B,A_r,0.5551401869158878
109,A,A&B,B_r,0.001869158878504673
113,A,A&B,A&B,0.17757009345794392
117,A,A&B,AB_r,0.24299065420560748
121,A,AB_r,UI,0.013656387665198238
125,A,AB_r,S,0.0
129,A,AB_r,A_r,0.00947136563876652
133,A,AB_r,B_r,0.0
137,A,AB_r,A&B,0.013436123348017621
141,A,AB_r,AB_r,0.9634361233480176
49,A,A_r,UI,0.014737804181423512
53,A,A_r,S,0.0004569861761681709
57,A,A_r,A_r,0.9822917856734834
61,A,A_r,B_r,0.0
65,A,A_r,A&B,0.0006854792642522564
69,A,A_r,AB_r,0.0018279447046726837
73,A,B_r,UI,0.9722943722943723
77,A,B_r,S,0.011255411255411256
81,A,B_r,A_r,0.006349206349206349
85,A,B_r,B_r,0.005772005772005772
89,A,B_r,A&B,0.0017316017316017316
93,A,B_r,AB_r,0.0025974025974025974
25,A,S,UI,0.96120246659815
29,A,S,S,0.01695786228160329
33,A,S,A_r,0.019784172661870502
37,A,S,B_r,0.0
41,A,S,A&B,0.0
45,A,S,AB_r,0.0020554984583761563
1,A,UI,UI,0.9882892955923027
5,A,UI,S,0.0005296298475842994
9,A,UI,A_r,0.009592185017360089
13,A,UI,B_r,0.0
17,A,UI,A&B,5.884776084269993e-05
21,A,UI,AB_r,0.0015300417819101983
99,AB,A&B,UI,0.8461538461538461
103,AB,A&B,S,0.0
107,AB,A&B,A_r,0.0
111,AB,A&B,B_r,0.0
115,AB,A&B,A&B,0.0
119,AB,A&B,AB_r,0.15384615384615385
123,AB,AB_r,UI,0.02002503128911139
127,AB,AB_r,S,0.0008343763037129745
131,AB,AB_r,A_r,0.0
135,AB,AB_r,B_r,0.0
139,AB,AB_r,A&B,0.0012515644555694619
143,AB,AB_r,AB_r,0.9778890279516061
51,AB,A_r,UI,0.4966319657072872
55,AB,A_r,S,0.31843233312921004
59,AB,A_r,A_r,0.1812614819350888
