,antibiotic,x,x_hat,weighted_mean
97,A,A&B,U,0.024291497975708502
101,A,A&B,S,0.0
105,A,A&B,A_r,0.5870445344129555
109,A,A&B,B_r,0.0020242914979757085
113,A,A&B,A&B,0.18421052631578946
117,A,A&B,AB_r,0.20242914979757085
121,A,AB_r,U,0.01423650975889782
125,A,AB_r,S,0.0
129,A,AB_r,A_r,0.008725602755453503
133,A,AB_r,B_r,0.0
137,A,AB_r,A&B,0.011481056257175661
141,A,AB_r,AB_r,0.965556831228473
49,A,A_r,U,0.012490992073024261
53,A,A_r,S,0.00048042277203939464
57,A,A_r,A_r,0.9845063656017295
61,A,A_r,B_r,0.0
65,A,A_r,A&B,0.000720634158059092
69,A,A_r,AB_r,0.00180158539514773
73,A,B_r,U,0.9737926972909305
77,A,B_r,S,0.011189634864546525
81,A,B_r,A_r,0.006478209658421673
85,A,B_r,B_r,0.005889281507656066
89,A,B_r,A&B,0.001177856301531213
93,A,B_r,AB_r,0.0014723203769140165
25,A,S,U,0.9602287496750714
29,A,S,S,0.01715622563036132
33,A,S,A_r,0.01949571094359241
37,A,S,B_r,0.0
41,A,S,A&B,0.0
45,A,S,AB_r,0.0031193137509747857
1,A,U,U,0.9882894186532831
5,A,U,S,0.0005377307761247536
9,A,U,A_r,0.00955965824221784
13,A,U,B_r,0.0
17,A,U,A&B,5.9747864013861504e-05
21,A,U,AB_r,0.001553444464360399
99,AB,A&B,U,1.0
103,AB,A&B,S,0.0
107,AB,A&B,A_r,0.0
111,AB,A&B,B_r,0.0
115,AB,A&B,A&B,0.0
119,AB,A&B,AB_r,0.0
123,AB,AB_r,U,0.022072936660268713
127,AB,AB_r,S,0.0009596928982725527
131,AB,AB_r,A_r,0.0
135,AB,AB_r,B_r,0.0
139,AB,AB_r,A&B,0.0
143,AB,AB_r,AB_r,0.9769673704414588
51,AB,A_r,U,0.49536178107606677
55,AB,A_r,S,0.32158317872603587
59,AB,A_r,A_r,0.1805813234384663
