,transfer_n,plate,antibiotic,exp,strain_x,strain_x_hat,mean,weight,mw
0,0,1,none,20220127,U,U,1.0,55,55.0
1,0,1,none,20220127,U,S,0.0,55,0.0
2,0,1,none,20220127,U,A_r,0.0,55,0.0
3,0,1,none,20220127,U,B_r,0.0,55,0.0
4,0,1,none,20220127,U,A&B,0.0,55,0.0
5,0,1,none,20220127,U,AB_r,0.0,55,0.0
6,0,1,none,20210417,U,U,1.0,56,56.0
7,0,1,none,20210417,U,S,0.0,56,0.0
8,0,1,none,20210417,U,A_r,0.0,56,0.0
9,0,1,none,20210417,U,B_r,0.0,56,0.0
10,0,1,none,20210417,U,A&B,0.0,56,0.0
11,0,1,none,20210417,U,AB_r,0.0,56,0.0
12,0,2,none,20220127,U,U,1.0,55,55.0
13,0,2,none,20220127,U,S,0.0,55,0.0
14,0,2,none,20220127,U,A_r,0.0,55,0.0
15,0,2,none,20220127,U,B_r,0.0,55,0.0
16,0,2,none,20220127,U,A&B,0.0,55,0.0
17,0,2,none,20220127,U,AB_r,0.0,55,0.0
18,0,2,none,20210417,U,U,0.9821428571428571,56,55.0
19,0,2,none,20210417,U,S,0.017857142857142856,56,1.0
20,0,2,none,20210417,U,A_r,0.0,56,0.0
21,0,2,none,20210417,U,B_r,0.0,56,0.0
22,0,2,none,20210417,U,A&B,0.0,56,0.0
23,0,2,none,20210417,U,AB_r,0.0,56,0.0
24,0,3,none,20220127,U,U,1.0,55,55.0
25,0,3,none,20220127,U,S,0.0,55,0.0
26,0,3,none,20220127,U,A_r,0.0,55,0.0
27,0,3,none,20220127,U,B_r,0.0,55,0.0
28,0,3,none,20220127,U,A&B,0.0,55,0.0
29,0,3,none,20220127,U,AB_r,0.0,55,0.0
30,0,3,none,20210417,U,U,0.9285714285714286,56,52.0
31,0,3,none,20210417,U,S,0.07142857142857142,56,4.0
32,0,3,none,20210417,U,A_r,0.0,56,0.0
33,0,3,none,20210417,U,B_r,0.0,56,0.0
34,0,3,none,20210417,U,A&B,0.0,56,0.0
35,0,3,none,20210417,U,AB_r,0.0,56,0.0
36,0,4,none,20220127,U,U,1.0,55,55.0
37,0,4,none,20220127,U,S,0.0,55,0.0
38,0,4,none,20220127,U,A_r,0.0,55,0.0
39,0,4,none,20220127,U,B_r,0.0,55,0.0
40,0,4,none,20220127,U,A&B,0.0,55,0.0
41,0,4,none,20220127,U,AB_r,0.0,55,0.0
42,0,4,none,20210417,U,U,0.9285714285714286,56,52.0
43,0,4,none,20210417,U,S,0.07142857142857142,56,4.0
44,0,4,none,20210417,U,A_r,0.0,56,0.0
45,0,4,none,20210417,U,B_r,0.0,56,0.0
46,0,4,none,20210417,U,A&B,0.0,56,0.0
47,0,4,none,20210417,U,AB_r,0.0,56,0.0
48,0,5,none,20220127,U,U,1.0,55,55.0
49,0,5,none,20220127,U,S,0.0,55,0.0
50,0,5,none,20220127,U,A_r,0.0,55,0.0
51,0,5,none,20220127,U,B_r,0.0,55,0.0
52,0,5,none,20220127,U,A&B,0.0,55,0.0
53,0,5,none,20220127,U,AB_r,0.0,55,0.0
54,0,5,none,20210417,U,U,0.9285714285714286,56,52.0
55,0,5,none,20210417,U,S,0.07142857142857142,56,4.0
56,0,5,none,20210417,U,A_r,0.0,56,0.0
57,0,5,none,20210417,U,B_r,0.0,56,0.0
58,0,5,none,20210417,U,A&B,0.0,56,0.0
59,0,5,none,20210417,U,AB_r,0.0,56,0.0
60,0,6,none,20220127,U,U,1.0,55,55.0
61,0,6,none,20220127,U,S,0.0,55,0.0
62,0,6,none,20220127,U,A_r,0.0,55,0.0
63,0,6,none,20220127,U,B_r,0.0,55,0.0
64,0,6,none,20220127,U,A&B,0.0,55,0.0
65,0,6,none,20220127,U,AB_r,0.0,55,0.0
66,0,6,none,20210417,U,U,0.9642857142857143,56,54.0
67,0,6,none,20210417,U,S,0.03571428571428571,56,2.0
68,0,6,none,20210417,U,A_r,0.0,56,0.0
69,0,6,none,20210417,U,B_r,0.0,56,0.0
70,0,6,none,20210417,U,A&B,0.0,56,0.0
71,0,6,none,20210417,U,AB_r,0.0,56,0.0
72,2,1,none,20220127,U,U,0.9545454545454546,44,42.0
73,2,1,none,20220127,U,S,0.022727272727272728,44,1.0
74,2,1,none,20220127,U,A_r,0.0,44,0.0
75,2,1,none,20220127,U,B_r,0.0,44,0.0
76,2,1,none,20220127,U,A&B,0.0,44,0.0
77,2,1,none,20220127,U,AB_r,0.022727272727272728,44,1.0
78,2,1,none,20210417,U,U,0.9210526315789473,38,35.0
79,2,1,none,20210417,U,S,0.07894736842105263,38,3.0
80,2,1,none,20210417,U,A_r,0.0,38,0.0
81,2,1,none,20210417,U,B_r,0.0,38,0.0
82,2,1,none,20210417,U,A&B,0.0,38,0.0
83,2,1,none,20210417,U,AB_r,0.0,38,0.0
84,3,1,none,20220412,U,U,1.0,1,1.0
85,3,1,none,20220412,U,S,0.0,1,0.0
86,3,1,none,20220412,U,A_r,0.0,1,0.0
87,3,1,none,20220412,U,B_r,0.0,1,0.0
88,3,1,none,20220412,U,A&B,0.0,1,0.0
89,3,1,none,20220412,U,AB_r,0.0,1,0.0
90,3,1,none,20220127,U,U,0.90625,32,29.0
91,3,1,none,20220127,U,S,0.0625,32,2.0
92,3,1,none,20220127,U,A_r,0.0,32,0.0
93,3,1,none,20220127,U,B_r,0.03125,32,1.0
94,3,1,none,20220127,U,A&B,0.0,32,0.0
95,3,1,none,20220127,U,AB_r,0.0,32,0.0
96,3,1,none,20210417,U,U,0.9565217391304348,23,22.0
97,3,1,none,20210417,U,S,0.043478260869565216,23,1.0
98,3,1,none,20210417,U,A_r,0.0,23,0.0
99,3,1,none,20210417,U,B_r,0.0,23,0.0
100,3,1,none,20210417,U,A&B,0.0,23,0.0
101,3,1,none,20210417,U,AB_r,0.0,23,0.0
102,4,1,none,20210417,U,U,0.9444444444444444,18,17.0
103,4,1,none,20210417,U,S,0.05555555555555555,18,1.0
104,4,1,none,20210417,U,A_r,0.0,18,0.0
105,4,1,none,20210417,U,B_r,0.0,18,0.0
106,4,1,none,20210417,U,A&B,0.0,18,0.0
107,4,1,none,20210417,U,AB_r,0.0,18,0.0
108,5,1,none,20210417,U,U,0.84,25,21.0
109,5,1,none,20210417,U,S,0.16,25,4.0
110,5,1,none,20210417,U,A_r,0.0,25,0.0
111,5,1,none,20210417,U,B_r,0.0,25,0.0
112,5,1,none,20210417,U,A&B,0.0,25,0.0
113,5,1,none,20210417,U,AB_r,0.0,25,0.0
114,6,1,none,20220127,U,U,1.0,10,10.0
