;index;groupI;groupII;meandiff;pAdj;lower;upper;reject;pValue
0;0;Combo;Cycling;0.3353;0.0;0.2861;0.3845;True;0.0
1;1;Combo;Mixing;0.3997;0.0;0.3505;0.4489;True;0.0
2;2;Combo;Mono A;0.5378;0.0;0.4886;0.587;True;0.0
3;3;Combo;Mono B;0.5247;0.0;0.4755;0.5739;True;0.0
4;4;Combo;No treatment;0.7448;0.0;0.6956;0.794;True;0.0
5;5;Cycling;Mixing;0.0645;0.0065;0.0152;0.1137;True;0.0065
6;6;Cycling;Mono A;0.2025;0.0;0.1533;0.2517;True;0.0
7;7;Cycling;Mono B;0.1895;0.0;0.1402;0.2387;True;0.0
8;8;Cycling;No treatment;0.4095;0.0;0.3603;0.4587;True;0.0
9;9;Mixing;Mono A;0.138;0.0;0.0888;0.1872;True;0.0
10;10;Mixing;Mono B;0.125;0.0;0.0758;0.1742;True;0.0
11;11;Mixing;No treatment;0.3451;0.0;0.2958;0.3943;True;0.0
12;12;Mono A;Mono B;-0.013;0.9556;-0.0622;0.0362;False;0.9556
13;13;Mono A;No treatment;0.207;0.0;0.1578;0.2562;True;0.0
14;14;Mono B;No treatment;0.2201;0.0;0.1708;0.2693;True;0.0
